Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-3.5055716049628574	0.36478151574286716	0.031626368344702165	220.20639803527533	-3.9970263258076324	-3.567389270462028	-2.5621337527455936
H_X	-3.8210942201747895	0.4101737178266231	0.038793900396450455	177.46213196703852	-4.426013494420116	-3.893978175198905	-2.7561508996334094
Q	0.57298561253611	0.1385944756871725	0.013712431312063346	124.15201776234348	0.3599017880625021	0.5506561912272405	0.9264806912485153
Sigma_Y	-2.3152857281252612	0.18739924160740018	0.016765076363914052	179.01645760999384	-2.5582335608726523	-2.35007367110006	-1.828400735688136
Sigma_X	-2.248978843584909	0.18806246807318383	0.017879313512766358	174.4866709534448	-2.503202214244498	-2.2907810386084217	-1.7388375243378538
Psi_Y_1	-1.0260803260254547	0.15951225755808043	0.002950132898411064	4683.485863288932	-1.3373760849830467	-1.0267677757590312	-0.7081939958416803
Psi_X_1	-0.16030126775802947	0.1849574819435348	0.003466122919097795	4672.430238514675	-0.5308162847382438	-0.1594484531420945	0.20117869514273404
Psi_Y_2	-0.15616680832480687	0.16229250981721596	0.003710311439456356	2106.7516163627774	-0.4648695760275928	-0.15792643797180855	0.1723225303846003
Psi_X_2	-0.36233026509020344	0.1839671123643739	0.003206149360115644	4970.086581294221	-0.7310914499435851	-0.36143763721934596	-0.006243481945894029
Psi_Y_3	0.1842273620730871	0.15751710124538273	0.00289829465627708	3917.9519729081126	-0.11809104333588229	0.18344434400357457	0.5010589653197919
Psi_X_3	-0.0541230330192889	0.188345968524607	0.0036371688865442556	3501.0168722353774	-0.41985097104441854	-0.055482150372457816	0.3203767234732244
Psi_Y_4	0.17788055325484356	0.16143415654983392	0.0029719654833358423	3141.5800750387593	-0.13414090914933152	0.17732062323238168	0.50276375440529
Psi_X_4	-0.12352039856994601	0.18671417127984644	0.0034986449967705398	4565.7523756544415	-0.49141083867213287	-0.12293269108637735	0.24442011559604773
Psi_Y_5	-0.06790265515705629	0.15776386411736512	0.002793393826666128	4834.405198734021	-0.3691141096128609	-0.070913156763674	0.2544416676331898
Psi_X_5	-0.23037509152280045	0.1840365184778823	0.0034386191544511875	4333.914113622321	-0.5908381381753105	-0.2290212153252725	0.13212758610759945
Psi_Y_6	0.08879865595967164	0.1674618150496017	0.0036917431929066762	1933.4447597312053	-0.2312239782223574	0.08429070761411311	0.43215698725256957
Psi_X_6	-0.2823993107088304	0.18782893245899895	0.003524981560839663	4645.304024205828	-0.663347711796326	-0.2799719677513125	0.07467917402658016
Psi_Y_7	0.17453221641128017	0.16294466978333313	0.0032112539330051825	1772.8058921806874	-0.1411596134298413	0.171997647313325	0.5029458539375548
Psi_X_7	-0.30193723927477095	0.18431996244558313	0.003369021603436167	4627.825246132867	-0.6621604150496307	-0.3006029792160401	0.056031290525004385
Psi_Y_8	0.2785610631554281	0.1588072002496104	0.0033106954635981206	3973.806064921501	-0.026879116039613293	0.2767991987951734	0.5955262895645924
Psi_X_8	-0.20862463675374468	0.1811446507316708	0.003121189320008153	5125.503416463201	-0.5678106021573571	-0.209251488638174	0.1451201756300628
Psi_Y_9	0.019806084286746364	0.15931784165020252	0.003052288023590386	4445.035686477886	-0.2939550427313262	0.0202290992361967	0.33459552053968644
Psi_X_9	-0.173745946785995	0.18517231808349646	0.003389536129716631	4888.533160705302	-0.5409839932583129	-0.17412337260225652	0.18707061459781082
Psi_Y_10	-0.4589910947690927	0.15904849931111364	0.002986697390392453	3092.459940616994	-0.7628024241330875	-0.46225445496927486	-0.14108815292345864
Psi_X_10	-0.20860391407367687	0.18321127592828396	0.003253969636093757	4671.146163735438	-0.5708178372606585	-0.210293779777249	0.15019986998287427
