Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-4.655500671395569	0.17939280114055972	0.007124402929361705	1132.1982870438296	-5.021380270977216	-4.65335638373838	-4.305335584833775
H_X	-4.502187737978431	0.19017113885783266	0.00838806003438078	904.0831667446255	-4.860914475090333	-4.50641273062269	-4.110152034261706
Sigma_Y	-2.594751717193271	0.056236409049157186	0.0019483663389505523	1470.6385080313526	-2.69797005811154	-2.597044042635769	-2.478901393381642
Sigma_X	-2.6388206175517177	0.06511718255449428	0.0026346105013412974	1141.6300655376865	-2.75285217408613	-2.6427387216158156	-2.4959297210965463
Psi_Y_1	0.2312584434413233	0.24277465656497565	0.0041416332545497585	5310.184927658173	-0.2378356680829678	0.2290065392817049	0.7074161391293455
Psi_X_1	0.5723559615659858	0.21377166645876083	0.0037041363175316848	5088.759763524312	0.14886848833743432	0.5731444565296692	0.9916641607721927
Psi_Y_2	1.0464517355485747	0.24656498320170525	0.004299572024700059	5073.260496928556	0.5494428480065742	1.048365539896365	1.541391681014661
Psi_X_2	0.5392714647162515	0.2082518061917372	0.0034281197861725666	5279.822095235018	0.13267630040964445	0.5392177847726533	0.9519835026519555
Psi_Y_3	-0.09369621683386933	0.2465303394876922	0.004473529008743841	4792.280796739899	-0.5777410643406962	-0.09000680431699534	0.3903707365100344
Psi_X_3	0.6327703801166978	0.21356127812657374	0.0036203856224068225	5126.956524376984	0.2203648417998358	0.6317511525441682	1.054890281259886
Psi_Y_4	-0.2067480740192026	0.2456899286882473	0.004242703485363709	4995.569273482626	-0.6855653621386839	-0.20556801916521328	0.2815874004341829
Psi_X_4	0.3526807920865464	0.21153457105950185	0.00369190336637985	4911.097165264558	-0.06206062267111789	0.3487114684025745	0.7717558442056611
Psi_Y_5	0.8042938945647322	0.24529457633161467	0.004070210091094067	5291.711660838273	0.3109575728094954	0.8057152457848349	1.2868672258522393
