Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-4.15267272660288	0.20948739510793832	0.010050834415476462	826.7771572509255	-4.523886695953401	-4.164029276774383	-3.7088336274747915
H_X	-3.0559046715297336	0.940652074191367	0.06181524085493841	465.2024432491878	-4.287786628564698	-3.245218985549356	-0.9051606546880067
Sigma_Y	-2.4687758938182647	0.08647729974624485	0.003978542649759468	912.8437513961076	-2.6118435810926517	-2.4772358283393032	-2.280194692327193
Sigma_X	-1.9793492566763413	0.4582117668114317	0.029600497860272173	488.0991577295936	-2.5494409281542767	-2.0841837874893336	-0.9090541783510311
Psi_Y_1	-0.0986250413820003	0.1914064212429973	0.0032302023214389095	5264.252236404786	-0.4720060975081313	-0.09935546998221947	0.2795416631375377
Psi_X_1	0.6575231354907698	0.1546720219280835	0.002802881991872915	4616.27158864597	0.3515765780737159	0.6587402334805763	0.9624945717188591
Psi_Y_2	-0.10638372907401274	0.1892521819799143	0.003312648466839822	5145.983707176598	-0.47115150309345816	-0.10879047828688873	0.26329356199837445
Psi_X_2	-0.03423215999808943	0.15445828119918972	0.002726029205749762	4477.072614709119	-0.3455538265293393	-0.03430564254508038	0.2651203185342581
Psi_Y_3	-0.2316722967405756	0.1914707016435667	0.0033213504903168434	4827.289758915682	-0.6080946840379479	-0.22906279355582998	0.13993359607765946
Psi_X_3	-0.4244036767084818	0.1548335525086436	0.002731266187376401	4980.7198375041635	-0.7343044498589801	-0.42369751740605704	-0.11995726768330277
Psi_Y_4	-0.3133107721803371	0.18920523931856903	0.0031332121981664475	5381.865585470244	-0.6844754024349904	-0.3141092564957103	0.06059390646715465
Psi_X_4	-0.029200418541720168	0.15127925324622424	0.0027481699430074243	4660.141616622578	-0.3267274545541773	-0.03027214933619489	0.2679261818999775
Psi_Y_5	-0.8308411722394078	0.19342348489399924	0.003261742365631872	5280.3611761520015	-1.2019073352241672	-0.8349111102583489	-0.43987633848508373
Psi_X_5	-0.6190254336899192	0.1588751683225322	0.0030889507710462603	2812.6604420367676	-0.943286592252977	-0.6155370407021417	-0.3149706612763899
Psi_Y_6	-0.8672078000530601	0.1873873026775278	0.003150774813398745	5212.668410759315	-1.2268835140685415	-0.8721289250863451	-0.4901178125896947
Psi_X_6	-1.3704099486672476	0.16155173773633646	0.0035592276058303944	2518.3226213571306	-1.6721867825896009	-1.3751381261579994	-1.039707944400158
Psi_Y_7	0.5025744401632197	0.19214467629801452	0.003314234353325218	5035.431254500269	0.12687837949218997	0.504365077840256	0.8831094342338276
Psi_X_7	0.797938633235204	0.15837301372612453	0.0027311402190192224	4964.147528393419	0.4846028037981683	0.7979829888362273	1.11009056505713
Psi_Y_8	1.6247323043434654	0.19261309272083027	0.0032329467294526563	5204.311539380527	1.242821175347495	1.6248727780573884	1.9995246976536674
Psi_X_8	1.023052387925591	0.15361972596393048	0.0027440390426744423	4936.834745693676	0.7167579646228771	1.0248451817214494	1.3189829533576711
Psi_Y_9	-0.39540200611922494	0.19041813867841834	0.0033517501295077822	4914.6689981270565	-0.7730143960806932	-0.3935035542385513	-0.028455906261186995
Psi_X_9	-0.05291760119184577	0.15553919020405013	0.0028145769270257227	4648.209448411486	-0.3453360356762918	-0.055962824286348495	0.25679489180668436
Psi_Y_10	-0.21703680161459327	0.19113827989243007	0.0034585531986249794	4760.177463137102	-0.5921918730883134	-0.21897628181490125	0.16213710796196834
Psi_X_10	0.5114803219328261	0.15493659294262965	0.002706153909794577	4830.74647162724	0.21062980782902885	0.510384900358018	0.8241952372272472
Psi_Y_11	-0.6945411711113304	0.19235588835874207	0.0031363871801022617	5382.336491059638	-1.0777520052525291	-0.6940114675115414	-0.32127618871491576
Psi_X_11	-0.09180932622025254	0.15964114368476484	0.0030104652153424456	2924.316681283607	-0.41881614450477517	-0.08741899003938645	0.2145275991870519
Psi_Y_12	-0.5020051683309281	0.1929582826984107	0.003359370737005254	5068.414489403755	-0.8837797465243955	-0.5025855856592939	-0.11742145599166705
Psi_X_12	-0.25043577799209393	0.1533959277755215	0.0026705666003144497	5024.333027112512	-0.5517650533736135	-0.25060025168071043	0.05588981734402382
Psi_Y_13	0.5319069240446721	0.19094562136322102	0.0032369292782491476	5233.889772474026	0.16119908515969553	0.5313900769189281	0.9034331483549838
Psi_X_13	0.1597624826199112	0.15200014132499215	0.00254331641351281	5339.4172458760795	-0.14083318356905986	0.15937939418253483	0.46062060155833173
Psi_Y_14	0.6981629195197138	0.18876420536964983	0.0030733219815532614	5640.0544210817325	0.32305415125682035	0.6966056175586731	1.0695090740415059
Psi_X_14	-0.2352157460562157	0.1529388801086894	0.0028648992862432576	4686.141302289251	-0.5380695367251419	-0.23280421571345988	0.05859584539144961
Psi_Y_15	0.3296694666964888	0.18914526897253833	0.0033147225217452143	5258.989257576068	-0.048599709807971264	0.33210155346474646	0.70052415582687
Psi_X_15	0.8304769899425866	0.15562932698061016	0.0028335561493146063	4837.184380949783	0.5228917691908905	0.8311354466853624	1.140593274498587
Psi_Y_16	0.02977355390044022	0.18643396235357926	0.0030121770418666304	5496.352252288993	-0.33693301229431105	0.03277366390044993	0.3973875030850404
Psi_X_16	-0.3161672049774784	0.15518505015063855	0.002815361966075807	4709.972350809045	-0.624314495167383	-0.31607284247780076	-0.006163584741990714
Psi_Y_17	0.12058428758790452	0.19476757720610588	0.003542464884275541	4577.255725603272	-0.2464700933477215	0.11601091417830205	0.5125043486714077
