Gene_ID	Tissue	Ribo_TPM	RNA_TPM	TE
ENSG00000105220	Fibroblasts	264.3725179	165.4434049	1.5979634731272385
ENSG00000145332	Fibroblasts	4.278545326	8.479035021	0.5046028605145916
ENSG00000165898	Fibroblasts	24.53476312	15.26329396	1.6074356678379795
ENSG00000161010	Fibroblasts	4.080391425	8.362851692	0.4879186640250179
ENSG00000109917	Fibroblasts	20.12894964	41.64057285	0.4833975198302297
ENSG00000110328	Fibroblasts	3.39265646	5.862480966	0.5787066055610286
ENSG00000204428	Fibroblasts	0.350182436	0.763615061	0.458585030449
ENSG00000023445	Fibroblasts	0.048919821	1.595169854	0.03066746834346833
ENSG00000170417	Fibroblasts	3.972610455	4.923390531	0.8068850987925013
ENSG00000161973	Fibroblasts	0.116325486	0.253842277	0.4582589132699909
ENSG00000175054	Fibroblasts	3.22943949	9.041677915	0.35717258680962427
ENSG00000177679	Fibroblasts	0.084318856	0.187081338	0.4507069326177258
ENSG00000237235	Fibroblasts	0	0	NA
ENSG00000100266	Fibroblasts	62.73647467	43.33696554	1.4476434583795272
ENSG00000143889	Fibroblasts	27.57397239	35.7514095	0.7712695184787051
ENSG00000168925	Fibroblasts	0	9.90271e-4	0
ENSG00000185028	Fibroblasts	0.005149328	0.009107799	0.5653756741886816
ENSG00000205221	Fibroblasts	0.377209354	0.402968071	0.936077523620972
ENSG00000173267	Fibroblasts	5.372992994	5.105074842	1.0524807491157246
ENSG00000172459	Fibroblasts	0	0	NA
ENSG00000132376	Fibroblasts	23.14636226	27.42968566	0.8438435112566288
ENSG00000163440	Fibroblasts	0	0.001017529	0
ENSG00000185652	Fibroblasts	22.98741999	18.27091797	1.25814258636289
ENSG00000135749	Fibroblasts	0.767694201	5.822057559	0.1318596034512341
ENSG00000053438	Fibroblasts	0.474638813	0.243275354	1.9510353399794045
ENSG00000166707	Fibroblasts	0.038574281	0.494137607	0.07806384386363859
ENSG00000117481	Fibroblasts	5.431212591	5.335648483	1.0179104954729457
ENSG00000178562	Fibroblasts	0.029679019	0.060915543	0.48721586541549833
ENSG00000115306	Fibroblasts	15.83419114	106.2091013	0.14908506847520045
ENSG00000136280	Fibroblasts	4.927326352	44.16062372	0.1115773722590891
ENSG00000100852	Fibroblasts	7.15201777	25.51564383	0.28029932607818503
ENSG00000283496	Fibroblasts	6.173041067	9.133710136	0.6758525259816719
ENSG00000138771	Fibroblasts	5.784321437	9.19508452	0.629066695843705
ENSG00000162076	Fibroblasts	19.9579592	32.46708062	0.6147136982715264
ENSG00000211448	Fibroblasts	0.151506746	0.27340094	0.5541559074376262
ENSG00000134531	Fibroblasts	153.3080421	106.5892171	1.4383072347380998
ENSG00000138758	Fibroblasts	604.8411397	452.5787813	1.3364328260433185
ENSG00000128242	Fibroblasts	0.156312453	0.322931318	0.48404240867093595
ENSG00000101670	Fibroblasts	20.72102591	14.8245421	1.3977514968236355
ENSG00000182117	Fibroblasts	877.7850967	372.2346636	2.3581497977933084
ENSG00000142871	Fibroblasts	1450.043591	707.7436499	2.0488259996467404
ENSG00000254550	Fibroblasts	0.00599235	0.053684583	0.11162143142659783
ENSG00000077684	Fibroblasts	24.64014424	30.05702058	0.8197799969700125
ENSG00000240021	Fibroblasts	0.039256509	0.094409213	0.4158122682369993
ENSG00000113384	Fibroblasts	89.00826378	78.21797206	1.1379515658079566
ENSG00000141564	Fibroblasts	6.535524915	7.159805211	0.9128076424424391
ENSG00000117122	Fibroblasts	270.1979721	197.3752526	1.3689556747399445
ENSG00000161682	Fibroblasts	1.347835962	2.264999842	0.5950711064111412
ENSG00000254598	Fibroblasts	0.315562149	0.315443646	1.0003756709050973
ENSG00000143515	Fibroblasts	4.60025865	36.37999204	0.12645023794788054
ENSG00000171811	Fibroblasts	0.045857909	0.07814401	0.5868384409758343
ENSG00000213918	Fibroblasts	0.02681603	4.474474097	0.005993113250555935
ENSG00000181744	Fibroblasts	18.01517157	7.892507392	2.2825663221120998
