Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-4.143627736331989	0.19629121405928296	0.008458395698175834	990.9575134450566	-4.5101601433860585	-4.152058191993118	-3.739230080274589
H_X	-3.550628567006672	0.50287396459762	0.03633207523836626	376.9355136537994	-4.09586443223792	-3.6680015045404746	-2.055541082336653
Sigma_Y	-2.4202731046497523	0.08053294934189385	0.003230328864733477	1124.5209621887325	-2.5614430745176993	-2.426711239376945	-2.2434337275012632
Sigma_X	-2.1984123665654294	0.2453589450940247	0.017858367983384492	369.96634986515176	-2.4508866920179706	-2.2595025648491935	-1.46287040608705
Psi_Y_1	-0.22878795098161694	0.19329577036008447	0.003136603852755672	5419.175603057796	-0.6134680521151507	-0.22928241904296393	0.15046027346488458
Psi_X_1	-0.4268637133052212	0.15978756660243382	0.002653324823724645	5319.540427035715	-0.7357912824836677	-0.42884714388775497	-0.11432999734750783
Psi_Y_2	-0.08922184504736624	0.19879018144344654	0.00356362526576913	3631.448245824973	-0.49299356386663956	-0.08646149026751743	0.2955699932763309
Psi_X_2	-0.554360141681149	0.16140323054785022	0.002762321494991399	5178.877444697653	-0.8689912164405326	-0.5555683293879274	-0.23536097963598826
Psi_Y_3	0.3074946374685608	0.19673369934685733	0.003259729337675279	5385.999458765333	-0.07470591929035501	0.3091496152805213	0.7005550368827588
Psi_X_3	-0.5251916496196328	0.15911413209903325	0.002705353935077939	5207.399690659642	-0.8363132947349041	-0.5250411091078808	-0.2133803635529497
Psi_Y_4	-0.8280897059567754	0.2053875370894408	0.0037275989495108228	4782.04137814738	-1.2269718699878678	-0.8296700980034283	-0.415526472934055
Psi_X_4	-0.3718769562220333	0.15962792223187627	0.002729090052710874	5140.5795793156085	-0.691446445568915	-0.3706682420252857	-0.05831141497620709
Psi_Y_5	0.050444265829555	0.1954090492028363	0.0034390574826361642	4821.158692690277	-0.34287553551909034	0.05433621487339259	0.42261858072290204
Psi_X_5	-0.29322968143782785	0.15980285631013816	0.0027504322273296153	5159.327291459915	-0.5987269509642362	-0.2972765746483328	0.029905655968617294
Psi_Y_6	-0.5515081828819346	0.1988674474720093	0.0034652549174506147	4954.928470390909	-0.9430623760798896	-0.5529901528786401	-0.1610561741407892
Psi_X_6	-0.49122269611496233	0.16125547277539734	0.0028578493619159646	4978.316005457585	-0.8084868536388709	-0.4911983110501901	-0.18034832753609764
Psi_Y_7	-0.5408269727469115	0.20268740217708334	0.0035357904183025476	5042.958795125163	-0.9492757766664974	-0.5380990297777726	-0.15234724773014008
Psi_X_7	-0.3795053179430989	0.1598186081037896	0.0027330874241645814	5187.256823671622	-0.6904959362427473	-0.3800161253392583	-0.06761563068328487
Psi_Y_8	0.9360092114594429	0.2010686501602776	0.0033750756845916945	5136.183657361494	0.5342955228563134	0.9383644067133068	1.3223097960639991
Psi_X_8	-0.39839959211869724	0.16282703229459483	0.002671728303736108	5341.484231367447	-0.7081448347139462	-0.40128467532354406	-0.07110590199491168
Psi_Y_9	-0.5565870421376795	0.19836373422874692	0.0033972628662902902	5026.037203484029	-0.9415553420326429	-0.5584850384533875	-0.15518000581039432
Psi_X_9	-0.3499786282834143	0.15770938452108738	0.002695512544632288	5376.0527645163465	-0.6550909866568759	-0.3511646956304662	-0.03937657196759925
Psi_Y_10	-0.7661411572000965	0.19615247431471008	0.0034113630843004288	4979.466203687798	-1.1471559494713324	-0.7688061689011606	-0.3788385506957839
Psi_X_10	-0.47416368388051106	0.1605403142152699	0.00282914279012753	4794.234569560528	-0.7881294451943618	-0.47688635181126	-0.1575877144613882
Psi_Y_11	-0.9938205110239507	0.20218983852931952	0.003579967330449297	5062.340409498412	-1.3826472662803184	-0.9955273649045695	-0.5927926438246944
Psi_X_11	-0.41393885869193975	0.15986550001851135	0.002778203599789566	4867.667909878545	-0.7320190807923266	-0.4120312339687782	-0.1042677830157257
Psi_Y_12	-1.1206272245205902	0.20126227130779073	0.003396755270025635	5168.9643290792255	-1.504608047687089	-1.1236051674787053	-0.7249726245643818
Psi_X_12	-0.45799305738502344	0.16186857222568626	0.002824559394908549	5120.603789094166	-0.776198129384664	-0.45728078015452567	-0.14100255493232808
Psi_Y_13	-0.8984868139172464	0.20413214972007784	0.003651339217290918	4889.825299006013	-1.3079954584704532	-0.8980813909464029	-0.4981767983383861
Psi_X_13	-0.4090691288312628	0.16208242710644524	0.002831569847035037	4878.139032926191	-0.7278086077338244	-0.40851950789191027	-0.10081926424324432
Psi_Y_14	-0.9008075138882999	0.1979143645375003	0.0032813597141353665	5227.35670013286	-1.289580481319836	-0.9002092685165234	-0.5057494678997884
Psi_X_14	-0.41317294174397556	0.1615585758628608	0.0028098489838889467	5207.26760693927	-0.7290802714208198	-0.4142948017738122	-0.09819701722904212
Psi_Y_15	-0.6636807156198702	0.20034276646653154	0.003507678215862898	5305.243051287864	-1.0510957127110128	-0.6671953727145776	-0.27216874004978886
Psi_X_15	-0.45318785455508964	0.1596136433364095	0.0026401348789258225	5321.51536795521	-0.7640804610491153	-0.45282418014379133	-0.13891137594460448
Psi_Y_16	-0.411280622068501	0.20062275003893038	0.003799520726863648	4857.17962907181	-0.7916764474156984	-0.41716611134910164	-0.007361050607763708
Psi_X_16	-0.44234713402396747	0.16206324062017577	0.0029217896735501386	4771.054041680284	-0.7585432148971808	-0.44273352353917383	-0.12426745371568926
Psi_Y_17	-0.5897798282051062	0.1979148064872758	0.0033236411341652705	5345.495981741735	-0.978302646027481	-0.5897172237132908	-0.20414367099410363
Psi_X_17	-0.45830267440008704	0.15895882200522946	0.0026843628937552448	5125.416094293768	-0.7678061246586423	-0.45966129047440285	-0.1450827063675686
Psi_Y_18	-1.0919765364311835	0.19759610581918352	0.003448217527472455	4988.168891777727	-1.4730748720371931	-1.0904197100249116	-0.6963133871837639
Psi_X_18	-0.32303342531137774	0.1597256875986708	0.002616675069929883	5450.494125399387	-0.6370775984104884	-0.32203803054950236	-0.0027433015066699843
Psi_Y_19	-0.852109374564275	0.19913912298130293	0.003430593128041058	5010.0615247826845	-1.2329839168381675	-0.8551817005429687	-0.4586603863493219
Psi_X_19	-0.4587817297693867	0.15815714341319156	0.0027099005920755564	5286.747947775228	-0.7672548220716647	-0.4572929882168367	-0.15203013348157748
Psi_Y_20	0.13914980155194615	0.20094066538174674	0.003296932000210675	5263.81555565533	-0.25724025612336604	0.14220964688198967	0.5281333767277024
Psi_X_20	-0.35163876561861446	0.16248048505851245	0.0029331001277246647	4916.726720159927	-0.6723788714741769	-0.35148511848607344	-0.027351886441216017
Psi_Y_21	-0.8901621679748727	0.19721484138005418	0.0033370984891777167	5746.9419078943065	-1.2696245866026783	-0.8936222928573507	-0.5004672873281143
Psi_X_21	-0.35056915131570865	0.16253241800832854	0.002619893250927744	5560.01581467036	-0.6722196318197425	-0.3515253828901861	-0.03435616259272147
Psi_Y_22	-0.9703946218691178	0.19859035844996595	0.0034348700228196177	5044.699470832975	-1.3723264061184883	-0.9660992828495998	-0.5929740715967645
Psi_X_22	-0.4400492918258166	0.15980268083026206	0.002759585637229995	5240.129066295274	-0.7542366801737541	-0.44036617274450696	-0.13690626370843834
Psi_Y_23	0.21936073789875157	0.1934495292728843	0.0031680960226614374	5415.273453126201	-0.1663059554175538	0.21864571949491957	0.5946507522801964
Psi_X_23	-0.4267098113035066	0.1566304889620867	0.0026118645839158655	5171.122896856103	-0.7313540468844011	-0.4270350835265203	-0.12052454449520175
Psi_Y_24	0.5787520786364201	0.1948105324104311	0.0033166034691020584	5089.580013836713	0.19758944071238588	0.5778455811628563	0.9642147114039422
Psi_X_24	-0.512121930512312	0.15850036903330478	0.0026532503740066245	5204.7212407392835	-0.8178325166884005	-0.5130291455637503	-0.19936908261183475
Psi_Y_25	-0.7106708928503516	0.20485818461047411	0.0037281493898485966	4219.692070267383	-1.106700365765009	-0.7145735878049428	-0.29648073226272964
Psi_X_25	-0.46474470871538226	0.161950190337845	0.002825288486361473	5080.92884258392	-0.7827032479693865	-0.46547394262817887	-0.14902722114286546
Psi_Y_26	-0.3810431362205944	0.19745596203323848	0.003417157311922559	5101.380776988387	-0.7690400553891316	-0.381165285972538	0.015539389433619093
Psi_X_26	-0.39809907975288095	0.16395851355514737	0.002823998167170716	5206.629968022453	-0.7195817970355659	-0.3980636079393538	-0.08329340415546786
Psi_Y_27	-0.13280538143638496	0.19960766129414884	0.0033681451630406113	5174.0834185870235	-0.5266163007937719	-0.1314633305515519	0.2656862408034357
Psi_X_27	-0.5621735978266387	0.15962854557655232	0.002658518244373554	5237.826665618119	-0.8777234164122837	-0.5628966859073166	-0.2527459075023151
Psi_Y_28	-0.9108669372066779	0.20346545139868613	0.00346856627973694	4994.938225346429	-1.321656888831589	-0.9105773617641022	-0.5101828766437728
Psi_X_28	-0.42253221143023373	0.15962529997134303	0.002735882065299709	5042.0334320002985	-0.7333203001270272	-0.421754625278039	-0.10863196044050723
Psi_Y_29	-0.8253063218293212	0.19745727507058483	0.0034365300724785385	5220.653756312454	-1.215224409537116	-0.8280942287248416	-0.43564865341852216
Psi_X_29	-0.6329271452649781	0.15839660574301986	0.0027268959601055615	5151.610691864211	-0.945144298565248	-0.6329984596803905	-0.32857786519683496
Psi_Y_30	-0.23721781290554173	0.19447976535198647	0.003299812844836926	5007.369311505643	-0.6207867218785974	-0.2372118872455626	0.14156720385568464
Psi_X_30	-0.4515049681930975	0.162154082111187	0.0026692661282520826	5412.351939490792	-0.7691238402788397	-0.45154000697130886	-0.1326519673023751
Psi_Y_31	-0.3196662927269372	0.20084736263189729	0.0033992988415135704	5255.486290994401	-0.724577645925413	-0.3224963010511168	0.07325621307762398
Psi_X_31	-0.45052648246848537	0.159255051781478	0.002711603816116907	5185.280919208	-0.7624824657549072	-0.44821029342574537	-0.14013137285580296
Psi_Y_32	-1.0286544264375583	0.20164227093311413	0.0037936948864596776	4400.777103100705	-1.4159480984858686	-1.0278086905079311	-0.6214010255825403
Psi_X_32	-0.46801422502156675	0.1615172680773042	0.002835556411241341	5060.83806472519	-0.7828036981226089	-0.46763415475649006	-0.1473399611377813
Psi_Y_33	-0.5352935078633019	0.20023342266789154	0.0034487721553049435	5088.448380545597	-0.9244294987944014	-0.5346712085100865	-0.13881030653136706
Psi_X_33	-0.46710069590631453	0.16093799473741893	0.0026982637243928697	5108.074955166215	-0.7833245203769768	-0.468487012689486	-0.14995611063632985
Psi_Y_34	-0.6367679029849612	0.1997796606830718	0.0033916925654968754	5049.638634032589	-1.0271520293985155	-0.6400910950174856	-0.23616554333860973
