Num.Enhancers,Gene_ID
1,ENSG00000016864
8,ENSG00000017260
20,ENSG00000017483
9,ENSG00000017621
37,ENSG00000017797
5,ENSG00000018189
4,ENSG00000018236
7,ENSG00000018280
27,ENSG00000018408
12,ENSG00000018510
2,ENSG00000018610
10,ENSG00000018625
2,ENSG00000018869
13,ENSG00000019144
9,ENSG00000019186
1,ENSG00000019485
29,ENSG00000019549
9,ENSG00000019582
12,ENSG00000019995
4,ENSG00000020129
5,ENSG00000020181
4,ENSG00000020256
9,ENSG00000020426
10,ENSG00000020577
23,ENSG00000020922
4,ENSG00000021300
10,ENSG00000021355
10,ENSG00000021574
1,ENSG00000021645
1,ENSG00000021762
8,ENSG00000021776
2,ENSG00000022267
20,ENSG00000022277
22,ENSG00000022556
1,ENSG00000022567
45,ENSG00000022840
13,ENSG00000022976
7,ENSG00000023041
42,ENSG00000023191
2,ENSG00000023228
3,ENSG00000023318
10,ENSG00000023330
19,ENSG00000023445
5,ENSG00000023516
14,ENSG00000023572
31,ENSG00000023608
9,ENSG00000023697
7,ENSG00000023734
10,ENSG00000023839
35,ENSG00000023892
1,ENSG00000023902
26,ENSG00000023909
6,ENSG00000024048
14,ENSG00000024422
1,ENSG00000024526
13,ENSG00000024862
1,ENSG00000025039
1,ENSG00000025156
18,ENSG00000025293
3,ENSG00000025423
21,ENSG00000025434
6,ENSG00000025708
4,ENSG00000025770
15,ENSG00000025772
5,ENSG00000025796
12,ENSG00000025800
6,ENSG00000026025
21,ENSG00000026036
9,ENSG00000026103
1,ENSG00000026297
40,ENSG00000026508
4,ENSG00000026559
2,ENSG00000026652
17,ENSG00000026751
12,ENSG00000026950
3,ENSG00000027001
26,ENSG00000027075
15,ENSG00000027697
25,ENSG00000027847
2,ENSG00000027869
2,ENSG00000028116
1,ENSG00000028137
33,ENSG00000028203
5,ENSG00000028277
1,ENSG00000028310
17,ENSG00000028528
31,ENSG00000028839
30,ENSG00000029153
13,ENSG00000029364
14,ENSG00000029639
20,ENSG00000029725
7,ENSG00000029993
11,ENSG00000030066
15,ENSG00000030110
4,ENSG00000030419
2,ENSG00000030582
2,ENSG00000031003
10,ENSG00000031081
5,ENSG00000031544
1,ENSG00000031691
29,ENSG00000031698
6,ENSG00000031823
6,ENSG00000032219
2,ENSG00000032389
1,ENSG00000032444
26,ENSG00000032742
3,ENSG00000033011
9,ENSG00000033030
8,ENSG00000033050
8,ENSG00000033100
2,ENSG00000033122
11,ENSG00000033170
11,ENSG00000033627
12,ENSG00000033800
3,ENSG00000033867
12,ENSG00000034063
1,ENSG00000034152
5,ENSG00000034239
25,ENSG00000034510
5,ENSG00000034533
7,ENSG00000034677
12,ENSG00000034693
16,ENSG00000034713
3,ENSG00000035115
29,ENSG00000035141
29,ENSG00000035403
2,ENSG00000035664
4,ENSG00000035681
10,ENSG00000035687
8,ENSG00000035862
33,ENSG00000036054
6,ENSG00000036257
1,ENSG00000036448
8,ENSG00000036549
2,ENSG00000036565
2,ENSG00000036672
1,ENSG00000036828
33,ENSG00000037042
19,ENSG00000037241
3,ENSG00000037474
19,ENSG00000037637
5,ENSG00000037757
11,ENSG00000037897
2,ENSG00000037965
1,ENSG00000038002
6,ENSG00000038210
4,ENSG00000038219
1,ENSG00000038274
1,ENSG00000038295
23,ENSG00000038358
21,ENSG00000038382
21,ENSG00000038532
36,ENSG00000039068
14,ENSG00000039139
1,ENSG00000039319
14,ENSG00000039523
4,ENSG00000039560
7,ENSG00000039650
10,ENSG00000039987
1,ENSG00000040199
2,ENSG00000040275
7,ENSG00000040341
23,ENSG00000040487
3,ENSG00000040531
1,ENSG00000040608
35,ENSG00000040633
4,ENSG00000040933
2,ENSG00000041353
5,ENSG00000041357
7,ENSG00000041802
12,ENSG00000041880
9,ENSG00000041982
29,ENSG00000041988
42,ENSG00000042062
4,ENSG00000042088
3,ENSG00000042286
5,ENSG00000042317
16,ENSG00000042429
27,ENSG00000042445
22,ENSG00000042493
18,ENSG00000042753
3,ENSG00000042832
14,ENSG00000043039
21,ENSG00000043093
9,ENSG00000043143
28,ENSG00000043514
1,ENSG00000043591
15,ENSG00000044090
13,ENSG00000044115
2,ENSG00000044446
1,ENSG00000044459
1,ENSG00000044524
17,ENSG00000044574
24,ENSG00000046604
7,ENSG00000046651
9,ENSG00000047056
13,ENSG00000047188
4,ENSG00000047230
7,ENSG00000047249
25,ENSG00000047315
5,ENSG00000047346
2,ENSG00000047365
3,ENSG00000047410
3,ENSG00000047457
16,ENSG00000047578
5,ENSG00000047579
6,ENSG00000047617
3,ENSG00000047621
4,ENSG00000047634
5,ENSG00000047644
2,ENSG00000047662
14,ENSG00000047849
10,ENSG00000047932
7,ENSG00000047936
3,ENSG00000048028
4,ENSG00000048052
10,ENSG00000048140
13,ENSG00000048162
1,ENSG00000048392
1,ENSG00000048405
6,ENSG00000048462
24,ENSG00000048471
4,ENSG00000048540
19,ENSG00000048544
3,ENSG00000048649
7,ENSG00000048707
1,ENSG00000048740
3,ENSG00000048828
17,ENSG00000049089
5,ENSG00000049130
11,ENSG00000049239
18,ENSG00000049245
20,ENSG00000049246
15,ENSG00000049247
63,ENSG00000049283
7,ENSG00000049323
2,ENSG00000049449
3,ENSG00000049540
25,ENSG00000049541
18,ENSG00000049618
6,ENSG00000049656
21,ENSG00000049759
10,ENSG00000049768
11,ENSG00000049769
13,ENSG00000049860
24,ENSG00000049883
15,ENSG00000050130
49,ENSG00000050165
1,ENSG00000050327
5,ENSG00000050344
12,ENSG00000050393
32,ENSG00000050405
10,ENSG00000050426
3,ENSG00000050438
10,ENSG00000050820
7,ENSG00000051009
15,ENSG00000051108
5,ENSG00000051128
6,ENSG00000051180
1,ENSG00000051341
1,ENSG00000051382
17,ENSG00000051523
1,ENSG00000051596
29,ENSG00000051620
12,ENSG00000051825
17,ENSG00000052126
34,ENSG00000052344
5,ENSG00000052723
14,ENSG00000052749
7,ENSG00000052795
8,ENSG00000052802
7,ENSG00000052841
1,ENSG00000053254
24,ENSG00000053371
30,ENSG00000053372
11,ENSG00000053438
6,ENSG00000053501
3,ENSG00000053524
4,ENSG00000053702
41,ENSG00000053747
1,ENSG00000053770
2,ENSG00000053900
25,ENSG00000054116
25,ENSG00000054118
30,ENSG00000054148
18,ENSG00000054179
2,ENSG00000054219
9,ENSG00000054267
1,ENSG00000054277
6,ENSG00000054282
4,ENSG00000054392
27,ENSG00000054523
13,ENSG00000054598
44,ENSG00000054611
14,ENSG00000054654
8,ENSG00000054690
2,ENSG00000054793
9,ENSG00000054965
5,ENSG00000054967
1,ENSG00000054983
7,ENSG00000055044
27,ENSG00000055070
2,ENSG00000055118
23,ENSG00000055130
4,ENSG00000055163
10,ENSG00000055208
14,ENSG00000055211
15,ENSG00000055332
3,ENSG00000055483
10,ENSG00000055732
48,ENSG00000055917
12,ENSG00000055950
1,ENSG00000055955
8,ENSG00000056050
9,ENSG00000056097
2,ENSG00000056277
14,ENSG00000056558
2,ENSG00000056586
6,ENSG00000056661
1,ENSG00000056736
21,ENSG00000056972
16,ENSG00000057019
23,ENSG00000057149
11,ENSG00000057252
9,ENSG00000057294
6,ENSG00000057468
23,ENSG00000057608
33,ENSG00000057657
28,ENSG00000057663
13,ENSG00000057704
35,ENSG00000057757
11,ENSG00000057935
12,ENSG00000058063
25,ENSG00000058085
9,ENSG00000058091
9,ENSG00000058262
11,ENSG00000058272
3,ENSG00000058404
12,ENSG00000058453
14,ENSG00000058600
23,ENSG00000058668
25,ENSG00000058673
8,ENSG00000058729
7,ENSG00000058799
5,ENSG00000058804
29,ENSG00000059122
12,ENSG00000059145
11,ENSG00000059377
12,ENSG00000059378
2,ENSG00000059573
1,ENSG00000059588
20,ENSG00000059691
38,ENSG00000059728
8,ENSG00000059758
41,ENSG00000059769
3,ENSG00000059804
17,ENSG00000059915
2,ENSG00000060069
9,ENSG00000060138
7,ENSG00000060140
21,ENSG00000060237
2,ENSG00000060303
14,ENSG00000060339
11,ENSG00000060491
20,ENSG00000060558
56,ENSG00000060642
5,ENSG00000060656
20,ENSG00000060688
1,ENSG00000060709
13,ENSG00000060749
5,ENSG00000060762
7,ENSG00000060971
3,ENSG00000060982
12,ENSG00000061273
6,ENSG00000061337
8,ENSG00000061656
6,ENSG00000061676
41,ENSG00000061794
2,ENSG00000061918
11,ENSG00000061936
11,ENSG00000061938
4,ENSG00000061987
36,ENSG00000062038
10,ENSG00000062194
2,ENSG00000062282
29,ENSG00000062485
27,ENSG00000062582
1,ENSG00000062598
3,ENSG00000062650
8,ENSG00000062716
4,ENSG00000062725
2,ENSG00000062822
1,ENSG00000063015
34,ENSG00000063046
8,ENSG00000063127
7,ENSG00000063169
11,ENSG00000063176
22,ENSG00000063177
9,ENSG00000063180
25,ENSG00000063241
10,ENSG00000063244
10,ENSG00000063245
7,ENSG00000063322
2,ENSG00000063438
1,ENSG00000063587
6,ENSG00000063601
10,ENSG00000063660
2,ENSG00000063761
19,ENSG00000063854
3,ENSG00000063978
13,ENSG00000064012
12,ENSG00000064042
10,ENSG00000064102
26,ENSG00000064115
17,ENSG00000064195
2,ENSG00000064199
11,ENSG00000064225
5,ENSG00000064270
9,ENSG00000064300
1,ENSG00000064309
11,ENSG00000064393
5,ENSG00000064419
5,ENSG00000064489
8,ENSG00000064490
7,ENSG00000064545
6,ENSG00000064547
14,ENSG00000064601
6,ENSG00000064607
4,ENSG00000064651
6,ENSG00000064652
50,ENSG00000064666
32,ENSG00000064687
7,ENSG00000064703
12,ENSG00000064726
1,ENSG00000064763
2,ENSG00000064886
21,ENSG00000064932
2,ENSG00000064933
13,ENSG00000064961
3,ENSG00000064989
9,ENSG00000064995
9,ENSG00000064999
30,ENSG00000065000
33,ENSG00000065029
20,ENSG00000065054
22,ENSG00000065057
13,ENSG00000065060
27,ENSG00000065135
3,ENSG00000065150
18,ENSG00000065154
3,ENSG00000065183
