gene_id	Num.eQTL	Mean.effect	Mean.abs.effect
ENSG00000000003	1464	0.0011382743169398883	0.15978907991803276
ENSG00000000005	148	-0.001297142567567569	0.18308264256756757
ENSG00000000419	75	-0.2505913253333333	0.35850015199999996
ENSG00000000457	7371	-0.12504943819020498	0.24445852846289537
ENSG00000000460	6818	-0.020154359196245166	0.34690562320328455
ENSG00000000938	351	-0.09464267806267813	0.33547525925925925
ENSG00000000971	2178	0.04974241822773192	0.21243431170798902
ENSG00000001036	1171	-0.08964805661827512	0.3801273847139196
ENSG00000001084	763	-0.1580989010484928	0.25082401769331586
ENSG00000001167	4538	0.39192612787571585	0.39372133501542533
ENSG00000001460	4273	-0.1274948098525625	0.27644685862391766
ENSG00000001461	2752	0.030803682013081365	0.25321709087936045
ENSG00000001497	1182	0.06811985194585385	0.2920911159052454
ENSG00000001561	3275	-0.06356424451908359	0.24930095206106873
ENSG00000001617	2636	0.04154149548558431	0.1945248146813353
ENSG00000001626	511	-0.12087745596868883	0.3253647553816047
ENSG00000001629	837	-0.014072547670251016	0.18018344038231782
ENSG00000001630	1634	-0.05152822521419845	0.28316601676866593
ENSG00000001631	3092	0.20852382364165586	0.23549129078266492
ENSG00000002016	5432	-0.13454620119661265	0.2485781981038292
ENSG00000002330	229	-0.12904604454148474	0.2688348812227074
ENSG00000002549	3130	-0.18156392709265168	0.2772888000638977
ENSG00000002586	664	-0.09674956234939759	0.16673576475903615
ENSG00000002587	938	-0.1402526897654585	0.3315847729211087
ENSG00000002726	1854	-0.01981945846817699	0.46714475512405595
ENSG00000002745	1245	-0.007524199196787273	0.26776733975903616
ENSG00000002746	1234	0.15699654051863857	0.36791319043760135
ENSG00000002822	2228	0.04531552553859973	0.27335219519748655
ENSG00000002834	404	0.01906508762376238	0.1868579316831683
ENSG00000002919	15531	-0.07204407849462348	0.2801073665894019
ENSG00000002933	3984	-0.07247721636546178	0.37977134287148595
ENSG00000003056	2475	0.030577992848484836	0.18284000828282834
ENSG00000003096	1495	-0.014805438327759374	0.26685793558528426
ENSG00000003137	992	0.10431495161290309	0.4592187580645162
ENSG00000003147	752	-0.11943809813829795	0.3043948893617021
ENSG00000003249	10272	0.1391281631425232	0.37429380021417447
ENSG00000003393	4398	-0.17968646634834012	0.3231172435197817
ENSG00000003400	2316	0.015352935751295357	0.28927966113989645
ENSG00000003402	639	0.020939625821596274	0.17617565492957746
ENSG00000003436	4499	-0.09654435685707945	0.2135297851300289
ENSG00000003509	1453	-0.038688212663455006	0.26919425960082577
ENSG00000003756	419	-0.05373360644391409	0.11354949952267303
ENSG00000003987	687	-0.012042165938864653	0.3044874468704512
ENSG00000003989	794	-0.005225760957178882	0.19938175768261962
ENSG00000004059	338	-0.05993914260355033	0.20879396390532548
ENSG00000004139	968	0.045796192768595	0.21139207603305782
