hgnc,ensg
HGNC:10426,ENSG00000083845
HGNC:7659,ENSG00000114503
HGNC:25016,ENSG00000160075
HGNC:23032,ENSG00000164758
HGNC:24628,ENSG00000118579
HGNC:25851,ENSG00000181938
HGNC:10303,ENSG00000167526
HGNC:1736,ENSG00000070831
HGNC:6815,ENSG00000162385
HGNC:12491,ENSG00000130725
HGNC:10440,ENSG00000171863
HGNC:30216,ENSG00000130724
HGNC:20856,ENSG00000131931
HGNC:20947,ENSG00000173726
HGNC:10368,ENSG00000161016
HGNC:12022,ENSG00000133112
HGNC:9540,ENSG00000108294
HGNC:8888,ENSG00000171314
HGNC:8042,ENSG00000095906
HGNC:15892,ENSG00000101166
HGNC:28287,ENSG00000172339
HGNC:16171,ENSG00000101421
HGNC:25073,ENSG00000213516
HGNC:24077,ENSG00000164162
HGNC:19696,ENSG00000109519
HGNC:9542,ENSG00000100804
HGNC:1177,ENSG00000174276
HGNC:655,ENSG00000168374
HGNC:4693,ENSG00000143774
HGNC:10301,ENSG00000142676
HGNC:30349,ENSG00000100413
HGNC:10785,ENSG00000112081
HGNC:10313,ENSG00000122026
HGNC:14626,ENSG00000146670
HGNC:12485,ENSG00000103275
HGNC:11580,ENSG00000124659
HGNC:17689,ENSG00000167272
HGNC:10682,ENSG00000143252
HGNC:28585,ENSG00000100101
HGNC:11300,ENSG00000153037
HGNC:10310,ENSG00000063177
HGNC:10404,ENSG00000140988
HGNC:24594,ENSG00000166847
HGNC:1286,ENSG00000159055
HGNC:18170,ENSG00000162368
HGNC:3078,ENSG00000128951
HGNC:19943,ENSG00000196655
HGNC:14161,ENSG00000161981
HGNC:10299,ENSG00000198755
HGNC:17083,ENSG00000179041
HGNC:861,ENSG00000117410
HGNC:17944,ENSG00000107371
HGNC:9537,ENSG00000008018
HGNC:24857,ENSG00000241127
HGNC:10383,ENSG00000124614
HGNC:24301,ENSG00000134153
HGNC:10306,ENSG00000174748
HGNC:28641,ENSG00000129197
HGNC:18305,ENSG00000182220
HGNC:9905,ENSG00000131795
HGNC:10386,ENSG00000110700
HGNC:24255,ENSG00000067533
HGNC:6763,ENSG00000164109
HGNC:3650,ENSG00000168496
HGNC:4556,ENSG00000167468
HGNC:14634,ENSG00000106244
HGNC:706,ENSG00000111229
HGNC:9846,ENSG00000132341
HGNC:10401,ENSG00000231500
HGNC:10429,ENSG00000137154
HGNC:8729,ENSG00000132646
HGNC:30860,ENSG00000155858
HGNC:10302,ENSG00000197958
HGNC:1582,ENSG00000110092
HGNC:18027,ENSG00000105849
HGNC:11541,ENSG00000178913
HGNC:16964,ENSG00000104671
HGNC:9544,ENSG00000136930
HGNC:1989,ENSG00000105254
HGNC:6159,ENSG00000242372
HGNC:10305,ENSG00000188846
HGNC:23789,ENSG00000100865
HGNC:19440,ENSG00000126524
HGNC:28291,ENSG00000198783
HGNC:16900,ENSG00000119953
HGNC:9194,ENSG00000168002
HGNC:10080,ENSG00000205937
HGNC:10325,ENSG00000114391
HGNC:9193,ENSG00000100142
HGNC:4249,ENSG00000152904
HGNC:21042,ENSG00000153989
HGNC:10011,ENSG00000106615
HGNC:26039,ENSG00000116922
HGNC:3208,ENSG00000114942
HGNC:10904,ENSG00000163950
HGNC:10312,ENSG00000108298
HGNC:9288,ENSG00000184203
HGNC:18178,ENSG00000160948
HGNC:9539,ENSG00000126067
HGNC:11477,ENSG00000148297
HGNC:23159,ENSG00000119523
HGNC:10311,ENSG00000105640
HGNC:25513,ENSG00000142751
HGNC:10780,ENSG00000136450
HGNC:5461,ENSG00000089289
HGNC:25976,ENSG00000163832
HGNC:2460,ENSG00000204435
HGNC:10420,ENSG00000149273
HGNC:25675,ENSG00000176108
HGNC:26433,ENSG00000146007
HGNC:28122,ENSG00000131475
HGNC:9543,ENSG00000142507
HGNC:21407,ENSG00000135334
HGNC:11131,ENSG00000092531
HGNC:25638,ENSG00000198498
HGNC:28046,ENSG00000100319
HGNC:2080,ENSG00000074201
HGNC:11153,ENSG00000125835
HGNC:6764,ENSG00000116670
HGNC:13870,ENSG00000167005
HGNC:6502,ENSG00000168028
HGNC:17261,ENSG00000115540
HGNC:25745,ENSG00000143319
HGNC:24335,ENSG00000198612
HGNC:9535,ENSG00000100902
