hgnc,ensg
HGNC:30288,ENSG00000143476
HGNC:30073,ENSG00000014138
HGNC:30881,ENSG00000101901
HGNC:25403,ENSG00000156876
HGNC:25473,ENSG00000114982
HGNC:26184,ENSG00000149016
HGNC:15898,ENSG00000089048
HGNC:7879,ENSG00000088038
HGNC:10289,ENSG00000132383
HGNC:6944,ENSG00000073111
HGNC:6947,ENSG00000104738
HGNC:10765,ENSG00000099995
HGNC:19070,ENSG00000079134
HGNC:10767,ENSG00000183431
HGNC:20294,ENSG00000132952
HGNC:30134,ENSG00000141456
HGNC:25495,ENSG00000082068
HGNC:16939,ENSG00000164609
HGNC:15713,ENSG00000089053
HGNC:1910,ENSG00000167670
HGNC:19124,ENSG00000145216
HGNC:16783,ENSG00000134371
HGNC:25542,ENSG00000167721
HGNC:3434,ENSG00000104884
HGNC:5048,ENSG00000153187
HGNC:24517,ENSG00000188976
HGNC:11303,ENSG00000174780
HGNC:19074,ENSG00000100296
HGNC:29925,ENSG00000134697
HGNC:18119,ENSG00000145375
HGNC:5958,ENSG00000113141
HGNC:3508,ENSG00000182944
HGNC:1249,ENSG00000088325
HGNC:2744,ENSG00000165732
HGNC:25862,ENSG00000115761
HGNC:16691,ENSG00000137822
HGNC:8067,ENSG00000108559
HGNC:8071,ENSG00000162231
HGNC:18599,ENSG00000130640
HGNC:6949,ENSG00000076003
HGNC:3435,ENSG00000163161
HGNC:12833,ENSG00000079246
HGNC:9479,ENSG00000196365
HGNC:2974,ENSG00000079805
HGNC:315,ENSG00000141385
HGNC:8734,ENSG00000125450
HGNC:18279,ENSG00000108651
HGNC:17348,ENSG00000117360
HGNC:17165,ENSG00000100109
HGNC:9711,ENSG00000241945
HGNC:12469,ENSG00000130985
HGNC:3280,ENSG00000106263
HGNC:29130,ENSG00000249115
HGNC:24218,ENSG00000115816
HGNC:25948,ENSG00000147874
HGNC:20726,ENSG00000092108
HGNC:11397,ENSG00000142731
HGNC:6945,ENSG00000112118
HGNC:9341,ENSG00000198901
HGNC:8487,ENSG00000085840
HGNC:2735,ENSG00000178105
HGNC:2738,ENSG00000109606
HGNC:4897,ENSG00000185359
HGNC:14198,ENSG00000006744
HGNC:25537,ENSG00000198301
HGNC:5006,ENSG00000113161
HGNC:12628,ENSG00000111667
HGNC:11587,ENSG00000183751
HGNC:29441,ENSG00000121621
HGNC:2236,ENSG00000181789
HGNC:24304,ENSG00000109805
HGNC:16821,ENSG00000087269
HGNC:10451,ENSG00000167325
HGNC:14879,ENSG00000102786
HGNC:9559,ENSG00000175166
HGNC:24484,ENSG00000143493
HGNC:15837,ENSG00000124228
HGNC:10538,ENSG00000175467
HGNC:24101,ENSG00000087087
HGNC:6058,ENSG00000149503
HGNC:11572,ENSG00000113407
HGNC:1493,ENSG00000110619
HGNC:18676,ENSG00000198231
HGNC:30782,ENSG00000164134
HGNC:25725,ENSG00000115368
HGNC:20084,ENSG00000123064
HGNC:2485,ENSG00000176102
HGNC:9751,ENSG00000172053
HGNC:16930,ENSG00000085872
HGNC:812,ENSG00000174437
HGNC:11111,ENSG00000072501
HGNC:20454,ENSG00000125630
HGNC:25749,ENSG00000103047
HGNC:6038,ENSG00000129351
HGNC:1743,ENSG00000096401
HGNC:29322,ENSG00000163510
HGNC:4839,ENSG00000172534
HGNC:18619,ENSG00000136152
HGNC:7417,ENSG00000172167
HGNC:2231,ENSG00000129083
HGNC:24565,ENSG00000120071
HGNC:12511,ENSG00000108312
HGNC:28958,ENSG00000102900
HGNC:17136,ENSG00000108592
HGNC:7658,ENSG00000136937
HGNC:11986,ENSG00000198900
HGNC:30858,ENSG00000108883
HGNC:9284,ENSG00000204569
HGNC:17347,ENSG00000174243
HGNC:14089,ENSG00000076924
HGNC:20,ENSG00000090861
HGNC:25521,ENSG00000068784
HGNC:3155,ENSG00000114346
HGNC:16740,ENSG00000066422
HGNC:2370,ENSG00000180182
HGNC:6400,ENSG00000108424
HGNC:20062,ENSG00000055483
HGNC:25986,ENSG00000018699
HGNC:799,ENSG00000163399
HGNC:6388,ENSG00000138160
HGNC:15860,ENSG00000101161
HGNC:29098,ENSG00000122965
HGNC:19990,ENSG00000053900
HGNC:8070,ENSG00000143748
HGNC:11992,ENSG00000177302
HGNC:16853,ENSG00000117408
HGNC:16638,ENSG00000133226
HGNC:9554,ENSG00000173692
HGNC:25048,ENSG00000149262
HGNC:10769,ENSG00000087365
HGNC:2232,ENSG00000184432
HGNC:9234,ENSG00000125686
HGNC:2431,ENSG00000124207
HGNC:16463,ENSG00000196504
HGNC:16931,ENSG00000149428
HGNC:9175,ENSG00000062822
HGNC:30634,ENSG00000114650
HGNC:12755,ENSG00000065183
HGNC:24644,ENSG00000198952
HGNC:9962,ENSG00000005007
HGNC:7896,ENSG00000149308
HGNC:16860,ENSG00000075856
HGNC:6898,ENSG00000166986
HGNC:29685,ENSG00000067704
HGNC:70,ENSG00000204574
HGNC:20186,ENSG00000119720
HGNC:9173,ENSG00000101868
HGNC:19910,ENSG00000165271
HGNC:25789,ENSG00000140598
HGNC:18598,ENSG00000126216
HGNC:12825,ENSG00000082898
HGNC:17103,ENSG00000064419
HGNC:17210,ENSG00000150990
HGNC:22935,ENSG00000125755
HGNC:19073,ENSG00000125676
HGNC:18734,ENSG00000039123
HGNC:4665,ENSG00000115207
HGNC:2717,ENSG00000167986
HGNC:9852,ENSG00000205339
HGNC:7618,ENSG00000058272
HGNC:21904,ENSG00000146918
HGNC:1713,ENSG00000140326
HGNC:14013,ENSG00000113810
HGNC:18600,ENSG00000153575
HGNC:11536,ENSG00000064313
HGNC:7801,ENSG00000160949
HGNC:29830,ENSG00000135372
HGNC:29241,ENSG00000108506
HGNC:20944,ENSG00000112701
HGNC:14011,ENSG00000136824
HGNC:13575,ENSG00000141867
HGNC:12836,ENSG00000088930
HGNC:23244,ENSG00000119707
HGNC:26048,ENSG00000164941
HGNC:23505,ENSG00000165733
HGNC:23170,ENSG00000198554
HGNC:11654,ENSG00000070814
HGNC:6392,ENSG00000137807
HGNC:17854,ENSG00000151461
HGNC:18681,ENSG00000145833
HGNC:9188,ENSG00000047315
HGNC:20628,ENSG00000086200
HGNC:1149,ENSG00000156970
HGNC:11465,ENSG00000092201
HGNC:18016,ENSG00000069248
HGNC:15807,ENSG00000198026
HGNC:17809,ENSG00000070366
HGNC:24567,ENSG00000103932
HGNC:7546,ENSG00000132382
HGNC:2739,ENSG00000204560
HGNC:2749,ENSG00000067596
HGNC:10770,ENSG00000189091
HGNC:29010,ENSG00000099381
HGNC:19353,ENSG00000169375
HGNC:26153,ENSG00000143624
HGNC:25751,ENSG00000168538
HGNC:16850,ENSG00000198730
HGNC:11137,ENSG00000165684
HGNC:30074,ENSG00000148606
HGNC:21475,ENSG00000146263
HGNC:30348,ENSG00000013503
HGNC:19715,ENSG00000092853
HGNC:29100,ENSG00000052749
HGNC:6512,ENSG00000133706
HGNC:14406,ENSG00000076201
HGNC:10768,ENSG00000115524
HGNC:17008,ENSG00000163781
HGNC:12651,ENSG00000204394
HGNC:11581,ENSG00000141556
HGNC:2750,ENSG00000135829
HGNC:2230,ENSG00000122218
HGNC:30097,ENSG00000165494
HGNC:2324,ENSG00000071894
HGNC:29169,ENSG00000153339
HGNC:5330,ENSG00000196305
HGNC:30287,ENSG00000141564
HGNC:11183,ENSG00000159140
HGNC:24305,ENSG00000010292
HGNC:22973,ENSG00000139697
HGNC:11813,ENSG00000111602
HGNC:9889,ENSG00000122257
HGNC:28704,ENSG00000140534
HGNC:2468,ENSG00000108055
HGNC:13490,ENSG00000091157
HGNC:25651,ENSG00000136709
HGNC:20043,ENSG00000082516
HGNC:11989,ENSG00000131747
HGNC:24500,ENSG00000164944
HGNC:8063,ENSG00000113569
HGNC:6946,ENSG00000160294
HGNC:3418,ENSG00000136628
HGNC:28952,ENSG00000151503
HGNC:29513,ENSG00000021776
HGNC:3296,ENSG00000114867
HGNC:8064,ENSG00000126883
HGNC:2092,ENSG00000141367
HGNC:18017,ENSG00000030066
HGNC:3271,ENSG00000107581
HGNC:13408,ENSG00000148843
HGNC:17264,ENSG00000068654
HGNC:4181,ENSG00000107862
HGNC:16856,ENSG00000135476
HGNC:24555,ENSG00000164880
HGNC:14540,ENSG00000060237
HGNC:28959,ENSG00000175216
HGNC:11470,ENSG00000109111
HGNC:25517,ENSG00000119285
HGNC:1919,ENSG00000111642
HGNC:30859,ENSG00000144028
HGNC:18658,ENSG00000155561
HGNC:17340,ENSG00000174231
HGNC:9177,ENSG00000177084
HGNC:16974,ENSG00000080603
HGNC:3581,ENSG00000171634
HGNC:882,ENSG00000175054
HGNC:1856,ENSG00000138778
HGNC:12017,ENSG00000047410
HGNC:17897,ENSG00000120800
HGNC:3942,ENSG00000198793
HGNC:30892,ENSG00000086758
HGNC:11958,ENSG00000183495
HGNC:30045,ENSG00000157106
HGNC:12347,ENSG00000196367
HGNC:2961,ENSG00000197102
HGNC:30313,ENSG00000127481
HGNC:18302,ENSG00000112159
