Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-2.5437155107241645	0.4345173519340345	0.03886082370960804	196.9558864540048	-3.2133728160233033	-2.609674377728455	-1.485454013798209
H_X	-3.7061702180682174	0.19126839494544837	0.00910151221791777	852.3708602299275	-4.058633245904449	-3.7137995990243233	-3.3131860056263402
Q	0.5675233148248532	0.06469945294668852	0.006122490188207749	153.1739039568006	0.4422445725411171	0.5670793458504253	0.6996320131775193
C	-0.3477295474213902	0.309036040760317	0.029218174284466283	154.2030985965517	-1.2301404414350472	-0.2796832116710636	0.04723768497862836
Sigma_Y	-1.8197423504322137	0.1951007316713311	0.016889928536095094	221.06065439277023	-2.1184618602890093	-1.848879403261731	-1.3446779527608472
Sigma_X	-2.3238238742391166	0.08479154078469509	0.0038766863522765216	915.6290249354981	-2.4738258845750454	-2.3295044706877164	-2.142238660434338
Psi_Y_1	-1.1937281104438655	0.14802928818814745	0.002617053556327029	5020.444251109238	-1.4812141678545223	-1.1948532047639011	-0.8996209010862002
Psi_X_1	0.06460032009828164	0.15762358422475964	0.002642552985960146	5240.738095738769	-0.24267492792306736	0.06581902590731631	0.36736374599794236
Psi_Y_2	-0.4051741714560879	0.15670109542187083	0.003174059289343546	1204.4575870579974	-0.7107489031349459	-0.4076264770861354	-0.09176422472295227
Psi_X_2	-0.8110505104223812	0.15553273644505908	0.002627978327137858	5622.937264613905	-1.1188379132906967	-0.8089417242955478	-0.5051462632225451
Psi_Y_3	-0.07328375348618686	0.16268072136281103	0.004108791356653119	798.5667630571199	-0.3955655324398528	-0.0723174772196196	0.23738037938210643
Psi_X_3	1.133294676752927	0.15692749643700277	0.002613342230318047	5261.574528593951	0.8209799731376415	1.1347463941887015	1.4392864660012221
Psi_Y_4	-0.157914037831967	0.1488031776979172	0.0026371665798664897	3566.533151576367	-0.44808102495004226	-0.15737451449133882	0.1344448281050111
Psi_X_4	-0.37478153590764723	0.1611701133576702	0.002911522773576235	4880.237527489128	-0.6945118235647443	-0.3728700378316219	-0.05737531570812282
Psi_Y_5	-0.6853686383966459	0.17457867599627663	0.005457269335253323	642.6179378552132	-1.0245177101510226	-0.6864919676465537	-0.3423287488403597
Psi_X_5	-1.3744825042855657	0.16022037730681965	0.0027930989207523285	4945.229091020347	-1.6905363145826127	-1.3726816961689559	-1.0637456316931977
Psi_Y_6	-1.0618358216303503	0.14770173374374965	0.002658964838504625	4801.3518519092695	-1.3434377217798494	-1.0624421313830532	-0.7722297026035881
Psi_X_6	0.2044283579827235	0.15793890388812726	0.002649651344429932	5206.336714454807	-0.10395819881541955	0.20396803159793545	0.5162623661439666
Psi_Y_7	-0.97099189996416	0.153472447002481	0.0032611605272083264	2051.8945059597468	-1.2690993054982131	-0.9735564573684619	-0.6628103498920945
Psi_X_7	-0.4114686334037349	0.15583729033384994	0.002650402153827958	5017.785745353674	-0.7199814464383287	-0.4119762122877414	-0.10852182348668576
Psi_Y_8	0.5914116290679218	0.17305772440024852	0.006412569776387469	785.8775279367487	0.25125989458073705	0.5889101801670766	0.938573651192418
Psi_X_8	-1.168816212919469	0.160987050277162	0.002768021822493373	5193.417335088109	-1.474459722091498	-1.1707962044260651	-0.8465463565884631
Psi_Y_9	-0.21280639878349486	0.15807586224986211	0.0038172556776845347	1247.7165157205816	-0.5213731859809955	-0.2119418321593386	0.10021836783588929
Psi_X_9	-0.7279887179544703	0.1566513176502421	0.0027076752448443393	5266.637587317402	-1.0323443610255747	-0.7298053669646671	-0.42564188619548105
Psi_Y_10	0.4225570179362499	0.1492512888863071	0.0027721601450948694	3678.2615129314645	0.1352531138607072	0.4224999840577134	0.7139212284584029
Psi_X_10	-0.4726713273087655	0.1587220505192298	0.002837876420471218	4793.380495647967	-0.7818492875124137	-0.4722139986471934	-0.15908403288457262
Psi_Y_11	-0.15973503634639863	0.15344569014256726	0.0035555836891324457	2444.861596587054	-0.4569010781211083	-0.1604848854207364	0.14472136576982236
Psi_X_11	-0.6918780238569762	0.15680754454578258	0.0025605629310458933	5534.866526603836	-0.9981901167511481	-0.6910048608446411	-0.3850920085294812
Psi_Y_12	-0.4251456739644246	0.16106524000989306	0.004230865236915598	1037.0855601850885	-0.7368545434290995	-0.4279125276865374	-0.10682270617868928
Psi_X_12	-1.021890424558853	0.15907580533960755	0.002750275964030828	5168.68256755236	-1.3336496897668426	-1.0238173577480674	-0.7089490965328697
Psi_Y_13	-0.5215414794669708	0.1519132319274847	0.003024618129839598	2899.0451954795617	-0.8209436635050698	-0.5225145959825477	-0.22204411961700077
Psi_X_13	-0.5402327058869025	0.16012658136244964	0.0027806812675041483	5101.0326064126375	-0.8534027081045746	-0.5416938929035773	-0.22122071391141812
Psi_Y_14	-0.008684233993730278	0.15252691357150916	0.002927147904122513	2212.9118688614967	-0.3056124195421806	-0.010523226528551081	0.2886608986656049
Psi_X_14	-0.5901178931005274	0.15958397855913548	0.0029033230163434884	4769.64166393548	-0.8985549955421686	-0.5909245539184185	-0.275249999593834
Psi_Y_15	-0.7194634780348467	0.1683735993268197	0.00567357527865686	795.0225473157946	-1.0408377480541406	-0.7200738614328688	-0.38404781141966937
Psi_X_15	-1.1920956485372614	0.15987149624383354	0.002710263636529652	5393.54011930035	-1.5063122942846299	-1.1887569177382433	-0.880681002866864
Psi_Y_16	0.6101192376388542	0.1852922670635361	0.010371853337597211	405.08868181557386	0.2443582717214441	0.6095228911516386	0.9709148711912652
Psi_X_16	1.7402883528286759	0.160915507780017	0.0028498696771838373	5119.471054097006	1.4278293744216002	1.7394413705564604	2.0550251592982938
Psi_Y_17	-0.087191108597466	0.15895293385049578	0.003814146589327535	1003.1794231402502	-0.3972551292560435	-0.08522831902009441	0.21798709849336131
Psi_X_17	0.8943025045753007	0.15687143681585777	0.0026077189001441512	5249.502664643041	0.5796101392006356	0.8960390686158256	1.196754396811061
Psi_Y_18	-0.4903688221358365	0.15172800257469704	0.002792654763265137	3042.4588273904183	-0.7859947054787981	-0.4897397897529076	-0.191404321821741
Psi_X_18	-0.5492576950458382	0.15984195074864974	0.0026547391801186944	5548.797114746758	-0.8602760238730343	-0.5485638139755564	-0.23164241916724213
Psi_Y_19	-0.3457965983906888	0.15055505016039938	0.002591060145727046	4966.989729770131	-0.644115386362785	-0.3438761783936885	-0.05522529436719611
Psi_X_19	0.16206296924482022	0.15688764245189735	0.0026573197092605015	5288.393309227231	-0.14687908688639942	0.16436498246026549	0.471185064329917
Psi_Y_20	-0.4312304424442579	0.14940287704513916	0.002495314212893049	5210.794784661233	-0.7218277229949644	-0.4299125342249671	-0.14064379767733004
Psi_X_20	0.2767323939389621	0.15699010307270095	0.002726452700416662	5308.255229642948	-0.02666504062604814	0.2769643499833071	0.591109247684075
Psi_Y_21	-0.636263894070637	0.16007854925087606	0.003956699448724285	1032.9921431389014	-0.948806873114284	-0.6353086303015212	-0.3192722313899849
Psi_X_21	-1.0367089019485138	0.1577458386319982	0.0027019598703565107	5038.592632635356	-1.3454507372476596	-1.036717855040921	-0.7252671129051256
Psi_Y_22	-0.9343871626867629	0.15076206914600362	0.002840996652623624	4141.957824659474	-1.226242397029101	-0.9353976775705395	-0.6428930542341427
Psi_X_22	-0.34473077978176025	0.15803063048239774	0.0026511783792171435	5110.3256319107595	-0.6577500714552103	-0.3438119266086969	-0.032511737067887625
Psi_Y_23	-1.3769815096016067	0.22806063725946987	0.01644047813743591	295.40046735640806	-1.8378835017332673	-1.3727683933533588	-0.9381994701487978
Psi_X_23	2.7747906550362114	0.1675209295067365	0.0029184364227921784	4911.483922925766	2.444765745673102	2.7713663850889665	3.101439488762646
Psi_Y_24	0.018726467781563082	0.15609000070979237	0.0034231188360265615	1268.797982018683	-0.28229285761358786	0.017343301181238082	0.33201308380730554
Psi_X_24	-0.8010409221220878	0.15980410696916514	0.002754369481151533	5256.748751203789	-1.10968701141349	-0.8027080994540664	-0.4835175092866969
Psi_Y_25	-0.5147246536570969	0.15977222737685273	0.0037127180128978827	1125.014420405913	-0.8213414365965299	-0.5148102237873331	-0.20131755546662122
Psi_X_25	-0.9258772955502508	0.1582027830930869	0.002698310186936332	5115.872096858269	-1.2389091984533218	-0.9259544340974303	-0.6182874724945421
Psi_Y_26	-0.6263461445989517	0.1486111397232355	0.0025120132873282133	5045.941802978252	-0.91955582499119	-0.6264058226153417	-0.3355702743736156
Psi_X_26	-0.11495538190134943	0.15883385672295497	0.0027344817419402154	5083.99915001444	-0.42896880824455347	-0.11340127406035808	0.1930312973604557
Psi_Y_27	-0.48099486849996165	0.14707095769640355	0.0025815957537064964	4615.257308020541	-0.7637905065089818	-0.48236211266642326	-0.1881055079465001
Psi_X_27	-0.17049800144419672	0.15840379605149946	0.002740927588027031	4884.003456678266	-0.4877255109287687	-0.16933304572870045	0.14244376625269745
