Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-4.2505885482684445	0.1581931940950122	0.007030553787992399	924.9929840397939	-4.565165975911743	-4.252135613491973	-3.9412358688310243
H_X	-3.7658692432246745	0.19254013739673703	0.009025658984499953	792.7385410653457	-4.140063550095397	-3.77046651474016	-3.3685868375309918
Q	1.0150722995780972	0.12690613057261116	0.005920162983197312	883.7184136564914	0.7879145872056647	1.0073987119582961	1.2895371723009714
Sigma_Y	-2.6160462284267627	0.06325767160398968	0.002824231248076813	933.0898133802306	-2.7302227846537788	-2.619527914552904	-2.482277375104051
Sigma_X	-2.290700280505366	0.0874232790636777	0.0039006531952578798	876.0428206565464	-2.4538046703128567	-2.295760854202362	-2.1059521869148585
Psi_Y_1	-0.6260354287960082	0.22815782902898865	0.00379886398736068	5235.188727636412	-1.060595505048978	-0.6320418758508837	-0.17297075590697825
Psi_X_1	-0.007885116956679738	0.16569640392590768	0.0027663185969710427	5018.2714556011615	-0.32415505689061436	-0.007299038860314792	0.3214409253443966
Psi_Y_2	-0.9702144300525731	0.23997893695225822	0.004278175663917493	4848.529779750378	-1.4421244923927228	-0.9678616474222872	-0.5006225940324638
Psi_X_2	0.017802029384638037	0.16817076735489023	0.002828314819404932	5203.714341826142	-0.31907731665827654	0.017320870487793794	0.3365895426836028
Psi_Y_3	0.026344952995198286	0.226977648580076	0.004020181458176828	4964.767449607068	-0.4032491810596755	0.024805937558822638	0.48093028396106
Psi_X_3	-0.06778538187816446	0.1625110660157803	0.0028271710748468955	4945.839544037373	-0.3822425993669008	-0.06913514104408418	0.2538306617282342
Psi_Y_4	-0.04409079415095468	0.2267304258273112	0.00425790688942162	4698.5332811302005	-0.48510255967993876	-0.04498116551613861	0.4160509612877939
Psi_X_4	-0.016097356109530087	0.16263870194438126	0.002908627209792546	5323.375985853013	-0.33511236787212184	-0.014766476253293557	0.29401652762241426
Psi_Y_5	0.15543249035254075	0.23618425609355792	0.0040358558118077205	5172.4411812340795	-0.31213648421301243	0.1540742950917393	0.6243923368229923
Psi_X_5	0.06494105051039323	0.17436729349095165	0.003018815207498435	5157.758247511868	-0.2828836434409561	0.06797467929462361	0.40208905231318187
Psi_Y_6	-0.2236181752500821	0.22256917913695745	0.003737211351658803	5150.9465505801145	-0.6557614403602212	-0.22297456511728891	0.2149713290010732
Psi_X_6	-0.10381550959646219	0.161393149656763	0.002721496866930284	5377.7100812218105	-0.4233211092475515	-0.1018232332808219	0.21521296266884848
Psi_Y_7	-0.09604169379555896	0.23248525263380312	0.0041056616127942355	4989.584057988258	-0.5637368200450604	-0.09487717972339679	0.3585187708518569
Psi_X_7	0.1113250521171373	0.1638368374934979	0.0029147704261328075	4858.092474446753	-0.20578695787098286	0.10892800478966633	0.4321692815000912
Psi_Y_8	-0.9916700358434575	0.2314671567218059	0.00408155652876734	5139.485669640415	-1.4309832324078329	-0.9923158845503433	-0.5247724106029793
Psi_X_8	-0.0769355655183285	0.1695382796287476	0.002874172489140686	5327.811383867772	-0.4083433851162767	-0.07485980133381495	0.25475313461659155
Psi_Y_9	0.06277855529097316	0.22386579922698294	0.003697398364204841	5322.515116722055	-0.37488386089624176	0.06333409592838471	0.5088444628852695
Psi_X_9	-0.07083587265269066	0.1645868089226896	0.0027856213375928155	5143.484250732534	-0.3919869434652128	-0.07203301984417912	0.2490250762393133
Psi_Y_10	-0.27781638348590754	0.2284102253115697	0.00400855362307358	5003.634249453453	-0.7265182065919364	-0.28086327212363704	0.1773543958456033
Psi_X_10	-0.027587876325279505	0.16367908296521672	0.002838133403508233	5136.357735421092	-0.353707430546588	-0.025697808691447444	0.29435907897772745
Psi_Y_11	-0.13803700616368406	0.22867566545146534	0.0039090144432740665	5143.198332577271	-0.5860327673107606	-0.13671638083086604	0.3053071219121808
Psi_X_11	-0.10406715478217637	0.16386308181519357	0.002780538255619932	5202.721703619812	-0.4241365500981825	-0.10354478246776967	0.21806324791182047
Psi_Y_12	0.03804241423790744	0.23177032228180602	0.004028256286051467	5050.608865848736	-0.4222845796659613	0.04076976242580592	0.4897052223359348
Psi_X_12	0.03722425917955421	0.1655079824859352	0.0029068916794461204	4854.183774634382	-0.2847388371848597	0.03415582136773411	0.36364971247447636
Psi_Y_13	-0.3549335232203987	0.22817493358679727	0.003907943758274752	5236.260991371602	-0.8092430794790948	-0.35530392184848536	0.08981635716217133
Psi_X_13	-0.0728317835417987	0.16447536936663112	0.0028847806789614287	5061.694241022244	-0.3903625893838307	-0.07186345857520134	0.24517192098918789
Psi_Y_14	-0.6862528865057018	0.23317825493079497	0.00430286166005293	4639.583173848648	-1.1506825866231307	-0.6863781900085619	-0.2399169501909868
Psi_X_14	0.11103849028930297	0.16522916701431903	0.0029144315316495502	4912.276699235152	-0.2197773269119805	0.11388948218277926	0.4302237327970712
Psi_Y_15	-0.43727867657083014	0.22632381073717536	0.0038454552601123815	5073.532029361419	-0.874928157654015	-0.43601265956773266	0.005841348608102248
Psi_X_15	0.1230111669431901	0.16485718367700286	0.0028964151540787145	5107.988787390554	-0.19942298266460276	0.12038024170919898	0.45352691712537896
Psi_Y_16	-0.6180837941539229	0.2263634722770183	0.003798899996201316	5056.938312482509	-1.065777375393929	-0.6202648316336787	-0.1694396128117617
Psi_X_16	-0.11927094212256945	0.16717602623759867	0.0029898480002592273	4964.675699347881	-0.45154354480190134	-0.11965780151177818	0.21125811782941883
Psi_Y_17	-0.8326839240860011	0.22687080932588924	0.003742407869804001	5236.214405146917	-1.2829039257729073	-0.8322866954434196	-0.3922738598348219
Psi_X_17	-0.1515311469496218	0.16824863658345976	0.003137966045157543	4170.642015315893	-0.479501908849972	-0.1541402290740651	0.17486102753642963
Psi_Y_18	-0.361450163455514	0.23101018563247924	0.004024308750134662	5111.9540899397125	-0.8182748046885734	-0.36026562669915885	0.08562111048921865
Psi_X_18	0.07180316070355929	0.16608001838979994	0.002806305062645047	5879.848289818679	-0.25508661693552226	0.07148030666853819	0.39932473213014824
Psi_Y_19	0.055642831176578665	0.23837617771382588	0.004248136618068504	4780.913326672614	-0.41361445027093147	0.058020989747711346	0.5170902723472708
Psi_X_19	0.13053060717642329	0.16797316269764162	0.0029583672202770626	5051.6667701075385	-0.19764134398901875	0.13049681966943333	0.4590381373379834
Psi_Y_20	0.23942992207975414	0.2328196588999524	0.004249369658132849	4605.2164639813955	-0.22275146138516563	0.24140728256280514	0.6910396269721708
Psi_X_20	0.12327353436273852	0.1664988745736097	0.002835385093609942	4681.3456035486315	-0.20155724369504202	0.12417512038747233	0.4487471184934722
Psi_Y_21	0.20452492962765828	0.23139009664944984	0.003946836644543731	5160.377129611531	-0.24920363036568222	0.20521267313223085	0.6557057470297168
Psi_X_21	-0.054774516855968625	0.16577604476318997	0.002823544366840701	4994.896545456697	-0.3791732307124664	-0.053872985720297945	0.2730338546188619
Psi_Y_22	-0.003972311667117622	0.22986198910864591	0.003972164029402945	5220.454524519433	-0.444971809048505	-0.004494283764825434	0.446863526667697
Psi_X_22	-0.014541705664110815	0.16468887604973217	0.002670562499348877	5278.44942937166	-0.33384144563890283	-0.015087507280914715	0.3076727095818115
Psi_Y_23	0.038542939971776026	0.22940743117926848	0.0037953300710079256	5351.930243836666	-0.4148676817507138	0.03823526871984624	0.48115888763921155
Psi_X_23	0.004771941821169254	0.16774480331478467	0.002946066834534712	5100.852127371248	-0.3205929214005532	0.004728856220229644	0.33302641854925874
Psi_Y_24	0.12543033463238754	0.22546000725443302	0.003961457716610055	5065.564729492144	-0.30707241899723875	0.12316298212696818	0.5774172665365735
Psi_X_24	-0.09404887105292073	0.16456602764516495	0.00290318467145861	4770.450197331889	-0.4208874113781904	-0.09590084484532643	0.22578669527721937
Psi_Y_25	-0.9947773664237322	0.2286246308263296	0.003998291228059717	5037.779259277775	-1.436098500234727	-0.9956096491944224	-0.5511502533136534
Psi_X_25	0.003718281009347704	0.1650243424261036	0.0028578087984500095	4896.699900273123	-0.32110707246636394	0.006488084248990063	0.3266298098914799
Psi_Y_26	0.15131471924425272	0.2249118758207164	0.003849488254370477	5384.121416623302	-0.28697996802513126	0.15134977835338193	0.5951480073221643
Psi_X_26	-0.10845564626236302	0.16370631825792623	0.002803098428567357	5003.84489597264	-0.42995797848296796	-0.10758621997036169	0.20923462269524076
Psi_Y_27	-1.0050864087668485	0.2280652710274339	0.0038013336256671427	5439.8364871417725	-1.450863653758956	-1.0020702437709363	-0.5497882153143351
Psi_X_27	-0.09709971517375268	0.16193979723971239	0.0027180277628509205	5351.504167551635	-0.4140952201233261	-0.09640884660257845	0.21553541884681068
Psi_Y_28	2.6352812147369633	0.23723486106162708	0.004525241092512524	4907.478145360902	2.1578371092535393	2.6383817602045943	3.0957625874240424
Psi_X_28	0.23626319301880727	0.170833911613315	0.003221718898903551	4521.17603641307	-0.10382596826433349	0.23282272920826827	0.5773283547178808
Psi_Y_29	-0.5354319488690201	0.22496420569190947	0.0038768323808657922	5127.382023770566	-0.9702401811054764	-0.5378799313475615	-0.08646754536917362
Psi_X_29	0.1511038417832766	0.16182993384319802	0.0026164718368728176	5537.4338424342905	-0.16404982035110321	0.1501088891937733	0.46625386578136524
Psi_Y_30	-0.1646934243193627	0.22884851194160707	0.003963983038633963	4994.196562286441	-0.6136684486583858	-0.16771066327555817	0.28787062017019505
Psi_X_30	-0.03791753893386178	0.16413814600212792	0.0029267333627575917	5094.1223169447485	-0.3551376543563735	-0.03923966122413029	0.2864853001296137
Psi_Y_31	-0.23509654455226478	0.2358867658772623	0.004259672894712964	4627.623303979741	-0.7044303412945108	-0.2310547348261029	0.2239434019348193
Psi_X_31	0.11087859044984555	0.16842529745149165	0.0031271086423088237	4465.8052853333065	-0.23021946652353287	0.11489712114668513	0.43319879914839404
Psi_Y_32	-0.10589490407133031	0.22697738238370782	0.0038899640729035435	5161.798210735033	-0.5513101347181232	-0.10741695323343804	0.3489861229885552
Psi_X_32	-0.029197889716265794	0.16332938323891993	0.0028819987375544283	4898.93258436816	-0.34610236733344163	-0.031398545723462415	0.29357339819924927
Psi_Y_33	-0.7910844739496574	0.23070810674424477	0.004087100952841977	4879.266121357045	-1.2345980446074059	-0.7949595650626605	-0.33458470244242944
Psi_X_33	-0.07692601767287717	0.1632339267146788	0.002824384515025253	5105.80214815736	-0.39786890863894625	-0.07936707720704603	0.24593847819148934
Psi_Y_34	0.5343561749209055	0.2280693107504146	0.0038845379814098895	5089.055908620758	0.08475197967143	0.531034159713246	0.9866100520464617
Psi_X_34	-0.10615774614545033	0.1682050083725785	0.002930726901293643	5039.009945347511	-0.4321634993548054	-0.10775366758618742	0.22813657632252243
Psi_Y_35	0.04838229621737702	0.22963964029160736	0.003904109509518686	5040.829329615133	-0.40582314183783585	0.04937544821570555	0.49509039832622886
Psi_X_35	0.06337325883651466	0.1636662319429425	0.0027909639857381058	5186.535126436968	-0.25472276706659114	0.062296398736898004	0.3931530758248408
Psi_Y_36	-1.0386180162535363	0.23597126226935036	0.004660057578469265	4198.101010904265	-1.4876646795246735	-1.0460319788546428	-0.5632404507590227
Psi_X_36	-0.0549361429058043	0.169264265442004	0.002981340769401359	4782.402472199979	-0.38856123591536695	-0.05545081722277186	0.27474872932427236
