Parameter	Mean	SD	MCSE	ESS	LB	Median	UB
H_Y	-3.871630448899119	0.3009817498936507	0.019199477262398283	492.1069037895572	-4.304848140819826	-3.906091690649034	-3.249640073468921
H_X	-4.212960056914215	0.26084427334664667	0.018844583596193655	403.76457061088183	-4.624489852115894	-4.236501497616017	-3.7101399026836996
Sigma_Y	-2.388274158716583	0.1387061594550264	0.008908290345032033	454.16585199266825	-2.5713377680329677	-2.4086526445932868	-2.0995709464532917
Sigma_X	-2.415956059167077	0.10928880445296078	0.008181728517579591	322.51246377490895	-2.566626310310635	-2.429500247426121	-2.202793211324462
Psi_Y_1	-1.0946144972971956	0.16558431165790838	0.0029293220835749615	4818.355850670764	-1.4159564859739096	-1.094481147530781	-0.7664506037702737
Psi_X_1	-0.18977173833386052	0.2074684306425614	0.003441191113937641	5322.7398533775895	-0.5966593747004377	-0.18928864554092134	0.22059487029314087
Psi_Y_2	-0.3556955696325791	0.16612287291534866	0.0028311510163697593	5206.9163932603515	-0.6753754562336696	-0.35714248349850863	-0.02437161622473658
Psi_X_2	-0.3694145610637824	0.21143694214223505	0.0037390020785040604	4928.878847345537	-0.7784405434581682	-0.3702789861640919	0.05043597838752012
Psi_Y_3	0.14035358588364472	0.163260336633395	0.0028602731143917786	5126.609645384461	-0.18229864825104153	0.14127543940100729	0.4621173816963484
Psi_X_3	-0.04336201124774794	0.2183331827786743	0.0036386145260884676	5141.221154273525	-0.47134615016598574	-0.04336585701767745	0.3882154966791096
Psi_Y_4	0.11342538997991014	0.16499669958350308	0.002809556006484972	5000.50927104811	-0.20728018473417353	0.11393312757180094	0.43575722409251566
Psi_X_4	-0.13419956013445947	0.21413898728628913	0.0038913688494349482	4911.155541496834	-0.5589514595728399	-0.13503432587564101	0.27808602334012394
Psi_Y_5	-0.18981639581543974	0.16581057627421905	0.002853279249796411	5183.660760156401	-0.5180727468010479	-0.18854772073241471	0.13491340421575548
Psi_X_5	-0.23127257647460722	0.21228690344088694	0.0036438750765963052	5013.7742704613365	-0.6487098422714487	-0.23412346891703348	0.18813408381141894
Psi_Y_6	-0.05120592886032268	0.166272045564101	0.00267800530816888	5225.975146083608	-0.3668851023211536	-0.051783376418948125	0.2765136909982909
Psi_X_6	-0.34184657967107707	0.2186037245537319	0.00400221570608344	4727.361695811224	-0.779410814302001	-0.33456065382338906	0.07630328434493559
Psi_Y_7	0.002788768970043664	0.16641940057914106	0.002887379640086179	4930.4135480041305	-0.32279656718812133	0.0012337018329471152	0.3357814726340833
Psi_X_7	-0.3129033537386822	0.20800075540961438	0.0035741433727578304	5323.362038791954	-0.7289093432406847	-0.3129463340354563	0.09476578453544111
Psi_Y_8	0.15259806557342365	0.1647310632723484	0.0027346636455854484	5298.976842853749	-0.16748446611038675	0.15424226355766513	0.47758337734048484
Psi_X_8	-0.20532678113346253	0.21222401535747526	0.003548951703202095	5302.328544032795	-0.618851906903658	-0.20589286034385318	0.21435878219616894
Psi_Y_9	-0.07309792210483312	0.16329976894109952	0.0026902533201754483	6686.927772032126	-0.3967839353472673	-0.0744039374421069	0.24866873947890009
Psi_X_9	-0.1717651759327185	0.20790859345034662	0.0034519413280121457	5189.073809948489	-0.5806106277152612	-0.17220748407386058	0.2454344881205781
Psi_Y_10	-0.5766777823355382	0.16726695027989327	0.0030070688828247928	4951.405697840784	-0.9060807845023632	-0.5753860828414165	-0.2434799374989494
Psi_X_10	-0.22602203234595347	0.21042232942650047	0.003671984073504214	5022.086479600932	-0.643276805632909	-0.22811008528255752	0.19596881397088217
Psi_Y_11	-0.5098829942727059	0.16325583713606176	0.0027197138463485758	5155.136910726254	-0.8328942564618	-0.5115777986595746	-0.1845310107661749
Psi_X_11	-0.2512601964149774	0.2115749331736719	0.003655420575400912	5040.476089362632	-0.6657462400865746	-0.2513668983402302	0.164869773009421
Psi_Y_12	-1.0261403810974357	0.16525301080902685	0.002839345271052085	5340.234356040225	-1.3408621845093038	-1.0297643104355894	-0.6968113125462144
Psi_X_12	-0.29541476829103575	0.20996752582975572	0.0038051357750639044	5042.879030729394	-0.7079309481585857	-0.2930021806312883	0.12149512233539869
Psi_Y_13	0.6940135665353174	0.16448369476776908	0.0026706681592159206	5511.499539556617	0.3672557119622056	0.6942291834745922	1.022617246502427
Psi_X_13	-0.28127910892452823	0.21083634718958147	0.0038705558946557582	4612.972386857905	-0.6899484983881802	-0.28272565189481125	0.13655555011900306
Psi_Y_14	-0.8572575465573946	0.16528151842276217	0.002797143214980302	5170.3266782838	-1.1809561981842456	-0.8578134458500583	-0.5233985670802471
Psi_X_14	-0.28050872521263226	0.2098579567335908	0.0035683144938650647	5213.423872454114	-0.6936162676069898	-0.27986524080943576	0.12929254195214923
Psi_Y_15	0.6539402674677058	0.16677043188421012	0.0028083250332838245	5109.472133025779	0.32202844287103227	0.6555904241520834	0.9809751552254512
Psi_X_15	-0.27740806894122155	0.2132852034490298	0.0036861379606512187	5156.188723876322	-0.7000431395570047	-0.2786130970503876	0.14305458386477254
Psi_Y_16	0.043525641747009715	0.16573774787484719	0.0028607918940943768	5155.868828911872	-0.2847900463052349	0.04572877287448844	0.3664300831769886
Psi_X_16	-0.31083422837098984	0.21376508191183313	0.0036254680782386445	4992.615163670047	-0.7327559495660311	-0.309467734164401	0.11113892286837201
Psi_Y_17	1.0824619045143369	0.16584555677191604	0.0029946286904270563	5012.9559404137235	0.7505236604616885	1.0850679485822576	1.3986100390974345
Psi_X_17	-0.22627315087950445	0.21291320910612024	0.004020835238536118	3729.6232427852665	-0.6383580380807291	-0.2270392787645168	0.20332545313218664
Psi_Y_18	-0.5864188409122727	0.18546482153978738	0.0034961478591818192	4606.598546857771	-0.9568225712047945	-0.5863752328503585	-0.2287686965714264
Psi_X_18	-0.1245319239953719	0.21181003884378852	0.003554482014525485	5121.724656270021	-0.5342124137008408	-0.1259013790833206	0.2932925466822027
Psi_Y_19	-0.7470833816062679	0.16707103451417366	0.002743429034209673	5401.8160350884145	-1.0695044079078457	-0.7496894680064796	-0.41227814765087284
Psi_X_19	-0.08805209035662498	0.21194483778970424	0.0036339702007097577	5059.045125670951	-0.5001182679533738	-0.09114141754062996	0.32268344220195283
Psi_Y_20	-1.1062637936661182	0.16891850781161333	0.002951122153985997	4922.658025011819	-1.4390459041418564	-1.1077025001906313	-0.7676835372861794
Psi_X_20	-0.28370334988235757	0.21097449089735218	0.0037503445057231436	5009.938865226022	-0.7002214063471561	-0.28662887677869275	0.13321197079657654
Psi_Y_21	0.13957820138898974	0.16417896159336798	0.002772355580167174	5311.671547814182	-0.1857675012032809	0.14099784447725355	0.46292291685003406
Psi_X_21	-0.22713622073924641	0.21440443533300482	0.003796734926566534	4848.077839413275	-0.6415121621743682	-0.22920671625946978	0.19913713548184175
Psi_Y_22	-0.6298141934155163	0.16703619928993127	0.0028558955338180737	5014.426430386753	-0.9594110936472697	-0.6292842197294743	-0.3061096618007967
Psi_X_22	-0.2937888445308421	0.21195818426461274	0.003653281456820162	5088.621087848953	-0.7082317197993028	-0.2951148801210559	0.12955361412716626
Psi_Y_23	-0.4596584160101728	0.1677097408297289	0.003000899612681651	4766.805927797077	-0.7919673131048566	-0.4613191312178869	-0.1255530150106077
Psi_X_23	-0.3136814113843958	0.21333225393236827	0.0036900172839097255	4977.899249533377	-0.7381836850438664	-0.3122314104852446	0.1061820591435122
Psi_Y_24	0.3405628900510959	0.16674953192697595	0.0028952763149102407	5316.406422414016	0.011125357095327398	0.3390372312435034	0.6677748308478404
Psi_X_24	-0.29710563050767824	0.21116515372706704	0.003789201147624877	4750.785757750244	-0.7097605224552961	-0.2959174375924893	0.11955675490804342
Psi_Y_25	0.2928832339693171	0.16686869188987993	0.0030433007260385276	4876.086352838925	-0.028756233735766298	0.29050071827075885	0.6250726245812012
Psi_X_25	-0.31323836257414456	0.21399905622873375	0.0035916336056749827	5180.325661795178	-0.7353092714553524	-0.3146275222721428	0.09891443163320057
Psi_Y_26	3.381009677536495	0.18019680675501995	0.003398279246580699	4411.585060352306	3.020440476474605	3.38552791657935	3.7241396791218233
Psi_X_26	-0.29078774673828633	0.21560235230465521	0.0038800556562921533	4917.51513095592	-0.7190191521194464	-0.2892441114284274	0.13059476888260008
Psi_Y_27	-0.3720977156838443	0.16629550067485585	0.0027870767655591095	5465.684928476372	-0.6998096496897448	-0.3719934972198237	-0.04482398716587801
Psi_X_27	-0.3408556151177632	0.21271658635459104	0.0039315002180281234	4639.591460986778	-0.7608515013794048	-0.3354798125193034	0.06535014325797575
Psi_Y_28	-0.36478250364322046	0.1673214245078356	0.002874713379724662	5116.958875158683	-0.6915091713468718	-0.3640368207133576	-0.030909409758983222
Psi_X_28	-0.36816925469499145	0.2118508430456024	0.0037048171012056237	4910.1159556833445	-0.7843321526764739	-0.3691750148038018	0.04751726970212451
Psi_Y_29	0.020293132164796245	0.1692440864041022	0.002815661841076536	5168.699602707915	-0.31323545415356013	0.02284697000617016	0.35048294486334053
Psi_X_29	-0.17996949427620804	0.20974397100944517	0.003750098381535495	4628.635714674056	-0.5893748297723462	-0.1806026484820642	0.23547392281823365
Psi_Y_30	-0.7925183414860949	0.16605146257812065	0.0030119295961356985	4656.697555710089	-1.1123923823825703	-0.793843199296924	-0.45517297667295564
Psi_X_30	-0.15269658871663877	0.21106917448160964	0.0036376364139954357	4978.606481963879	-0.5727429150961472	-0.15167774062784556	0.2645482317764449
Psi_Y_31	0.27022691108739866	0.16465373858570198	0.002817677581482569	5060.825135373664	-0.05488266621569234	0.26909136431135766	0.5945677217337753
Psi_X_31	-0.20264796248844372	0.20996531753283942	0.003470858595503649	5410.470226151344	-0.6035380462941473	-0.20547946394096495	0.20844904598890854
Psi_Y_32	-0.11000775705602522	0.163239054388417	0.0027900418078645106	5347.53337681391	-0.42703692528880827	-0.10912269957134432	0.20829735834177834
Psi_X_32	-0.22712837135308628	0.21101870048909396	0.003664076163305785	4821.6040532766765	-0.643371721475974	-0.23155567781430875	0.19119342228539088
Psi_Y_33	0.1473901005801801	0.16572612239500342	0.0028125346639320415	5166.860505550165	-0.17627973484331422	0.14771687234843064	0.47775810502570754
Psi_X_33	-0.2070879501442061	0.21517733831878305	0.0038752954986693445	4680.984625338547	-0.6283097742682408	-0.21242364104780398	0.21964637582957
Psi_Y_34	-0.3274268614510042	0.1680134646645035	0.0030095510550894812	5166.985355945278	-0.663755602624628	-0.3257275629275375	-0.0037459337105505935
Psi_X_34	-0.12593392733570036	0.21027425083147658	0.003577074106314186	5116.809125706068	-0.5387133031181599	-0.1263644740019	0.28763547321482635
Psi_Y_35	-1.05592210478435	0.16754545167260743	0.002914339780619061	4926.166107197992	-1.3825652724662376	-1.0572123380099943	-0.7259292056179718
Psi_X_35	-0.21796787093462877	0.20966626955685588	0.003619556812372942	5030.951116786639	-0.6241265572973014	-0.21845652293510714	0.18863538632715562
Psi_Y_36	-0.9235953683925799	0.16658918487211588	0.002992859487318764	4946.389972277174	-1.2477203574715354	-0.9243708167971147	-0.5961763720437655
Psi_X_36	-0.29394042539635035	0.21202259828378667	0.0035106574992291237	4589.543930309882	-0.7019588449898524	-0.2974842221637112	0.1272297164987256
