Gene_ID,Num.Enhancers
ENSG00000011332,8
ENSG00000011347,9
ENSG00000011376,29
ENSG00000011405,8
ENSG00000011422,23
ENSG00000011426,10
ENSG00000011451,13
ENSG00000011454,10
ENSG00000011465,16
ENSG00000011478,26
ENSG00000011485,15
ENSG00000011523,16
ENSG00000011566,16
ENSG00000011590,12
ENSG00000011600,6
ENSG00000011638,18
ENSG00000011677,2
ENSG00000012048,23
ENSG00000012061,41
ENSG00000012124,28
ENSG00000012171,15
ENSG00000012174,4
ENSG00000012211,10
ENSG00000012223,32
ENSG00000012232,27
ENSG00000012504,4
ENSG00000012660,23
ENSG00000012779,9
ENSG00000012817,2
ENSG00000012822,14
ENSG00000012963,7
ENSG00000012983,26
ENSG00000013016,5
ENSG00000013275,5
ENSG00000013288,8
ENSG00000013293,5
ENSG00000013297,7
ENSG00000013306,12
ENSG00000013364,30
ENSG00000013374,16
ENSG00000013375,6
ENSG00000013392,6
ENSG00000013441,19
ENSG00000013503,9
ENSG00000013523,25
ENSG00000013561,36
ENSG00000013563,23
ENSG00000013573,15
ENSG00000013583,30
ENSG00000013588,26
ENSG00000013619,6
ENSG00000013725,44
ENSG00000013810,21
ENSG00000014123,1
ENSG00000014138,43
ENSG00000014164,23
ENSG00000014216,50
ENSG00000014257,4
ENSG00000014641,4
ENSG00000014824,1
ENSG00000014914,19
ENSG00000014919,9
ENSG00000015133,39
ENSG00000015153,3
ENSG00000015171,9
ENSG00000015285,10
ENSG00000015413,18
ENSG00000015475,12
ENSG00000015479,23
ENSG00000015520,1
ENSG00000015532,9
ENSG00000015568,3
ENSG00000015592,7
ENSG00000015676,29
ENSG00000016082,3
ENSG00000016391,5
ENSG00000016402,8
ENSG00000016490,1
ENSG00000016602,5
ENSG00000016864,7
ENSG00000017260,11
ENSG00000017427,9
ENSG00000017483,10
ENSG00000017797,30
ENSG00000018189,20
ENSG00000018236,5
ENSG00000018280,21
ENSG00000018408,29
ENSG00000018510,16
ENSG00000018610,15
ENSG00000018625,8
ENSG00000018699,8
ENSG00000018869,3
ENSG00000019102,6
ENSG00000019144,33
ENSG00000019169,12
ENSG00000019186,15
ENSG00000019485,4
ENSG00000019505,1
ENSG00000019549,14
ENSG00000019582,18
ENSG00000019991,2
ENSG00000019995,5
ENSG00000020129,7
ENSG00000020181,15
ENSG00000020256,8
ENSG00000020426,8
ENSG00000020577,31
ENSG00000020633,36
ENSG00000020922,12
ENSG00000021300,12
ENSG00000021355,31
ENSG00000021461,18
ENSG00000021488,2
ENSG00000021574,8
ENSG00000021645,10
ENSG00000021762,22
ENSG00000021776,3
ENSG00000021826,9
ENSG00000021852,7
ENSG00000022267,9
ENSG00000022277,14
ENSG00000022355,3
ENSG00000022556,5
ENSG00000022567,39
ENSG00000022840,26
ENSG00000022976,15
ENSG00000023041,10
ENSG00000023171,36
ENSG00000023191,35
ENSG00000023228,6
ENSG00000023287,7
ENSG00000023318,3
ENSG00000023330,17
ENSG00000023445,26
ENSG00000023516,7
ENSG00000023572,4
ENSG00000023608,34
ENSG00000023697,14
ENSG00000023734,19
ENSG00000023839,8
ENSG00000023892,20
ENSG00000023902,16
ENSG00000023909,7
ENSG00000024048,20
ENSG00000024422,21
ENSG00000024526,4
ENSG00000024862,18
ENSG00000025039,11
ENSG00000025156,3
ENSG00000025293,11
ENSG00000025423,18
ENSG00000025434,15
ENSG00000025708,24
ENSG00000025770,21
ENSG00000025772,20
ENSG00000025796,13
ENSG00000025800,23
ENSG00000026025,44
ENSG00000026036,20
ENSG00000026103,28
ENSG00000026297,20
ENSG00000026508,56
ENSG00000026559,18
ENSG00000026652,17
ENSG00000026751,35
ENSG00000026950,22
ENSG00000027001,33
ENSG00000027075,95
ENSG00000027644,8
ENSG00000027697,15
ENSG00000027847,7
ENSG00000027869,17
ENSG00000028116,8
ENSG00000028137,23
ENSG00000028203,10
ENSG00000028277,15
ENSG00000028310,23
ENSG00000028528,21
ENSG00000028839,5
ENSG00000029153,21
ENSG00000029363,26
ENSG00000029364,19
ENSG00000029534,14
ENSG00000029559,1
ENSG00000029639,15
ENSG00000029725,6
ENSG00000029993,3
ENSG00000030066,24
ENSG00000030110,29
ENSG00000030304,19
ENSG00000030419,17
ENSG00000030582,13
ENSG00000031003,26
ENSG00000031081,33
ENSG00000031691,4
ENSG00000031698,16
ENSG00000031823,7
ENSG00000032219,14
ENSG00000032389,20
ENSG00000032444,17
ENSG00000032742,11
ENSG00000033011,12
ENSG00000033030,28
ENSG00000033050,11
ENSG00000033100,10
ENSG00000033122,3
ENSG00000033170,19
ENSG00000033178,4
ENSG00000033327,23
ENSG00000033627,32
ENSG00000033800,7
ENSG00000033867,8
ENSG00000034053,21
ENSG00000034152,6
ENSG00000034239,14
ENSG00000034510,22
ENSG00000034533,4
ENSG00000034677,41
ENSG00000034693,7
ENSG00000034713,7
ENSG00000034971,3
ENSG00000035115,6
ENSG00000035141,12
ENSG00000035403,17
ENSG00000035499,7
ENSG00000035664,11
ENSG00000035681,18
ENSG00000035687,21
ENSG00000035720,2
ENSG00000035862,32
ENSG00000035928,12
ENSG00000036054,12
ENSG00000036257,15
ENSG00000036448,40
ENSG00000036473,1
ENSG00000036530,11
ENSG00000036549,11
ENSG00000036565,2
ENSG00000036672,17
ENSG00000036828,19
ENSG00000037042,16
ENSG00000037241,58
ENSG00000037280,12
ENSG00000037474,7
ENSG00000037637,28
ENSG00000037749,6
ENSG00000037757,14
ENSG00000037897,11
ENSG00000037965,15
ENSG00000038002,3
ENSG00000038210,8
ENSG00000038219,5
ENSG00000038274,3
ENSG00000038295,2
ENSG00000038358,26
ENSG00000038382,40
ENSG00000038427,9
ENSG00000038532,47
ENSG00000038945,14
ENSG00000039068,13
ENSG00000039123,17
ENSG00000039139,6
ENSG00000039319,28
ENSG00000039523,29
ENSG00000039537,4
ENSG00000039560,21
ENSG00000039600,15
ENSG00000039650,28
ENSG00000039987,1
ENSG00000040199,6
ENSG00000040275,5
ENSG00000040341,20
ENSG00000040487,22
ENSG00000040531,19
ENSG00000040608,12
ENSG00000040633,14
ENSG00000040731,1
ENSG00000040933,26
ENSG00000041353,9
ENSG00000041357,11
ENSG00000041515,22
ENSG00000041802,24
ENSG00000041880,18
ENSG00000041982,17
ENSG00000041988,10
ENSG00000042062,62
ENSG00000042088,15
ENSG00000042286,16
ENSG00000042304,2
ENSG00000042317,3
ENSG00000042429,15
ENSG00000042445,35
ENSG00000042493,44
ENSG00000042753,14
ENSG00000042781,2
ENSG00000042813,23
ENSG00000042832,41
ENSG00000042980,8
ENSG00000043039,26
ENSG00000043093,9
ENSG00000043143,9
ENSG00000043462,17
ENSG00000043514,25
ENSG00000043591,6
ENSG00000044012,2
ENSG00000044090,17
ENSG00000044115,18
ENSG00000044446,3
ENSG00000044459,2
ENSG00000044524,2
ENSG00000044574,7
ENSG00000046604,34
ENSG00000046647,9
ENSG00000046651,17
ENSG00000046653,14
ENSG00000046774,1
ENSG00000046889,4
ENSG00000047056,11
ENSG00000047188,3
ENSG00000047230,5
ENSG00000047249,19
ENSG00000047315,19
ENSG00000047346,16
ENSG00000047365,9
ENSG00000047410,13
ENSG00000047457,12
ENSG00000047578,33
ENSG00000047579,9
ENSG00000047597,9
ENSG00000047617,5
ENSG00000047621,10
ENSG00000047634,2
ENSG00000047644,12
ENSG00000047648,6
ENSG00000047662,5
ENSG00000047849,12
ENSG00000047932,9
ENSG00000047936,7
ENSG00000048028,34
ENSG00000048052,16
ENSG00000048140,10
ENSG00000048162,10
ENSG00000048342,16
ENSG00000048392,9
ENSG00000048405,3
ENSG00000048462,26
ENSG00000048471,43
ENSG00000048540,14
ENSG00000048544,24
ENSG00000048649,9
ENSG00000048707,58
ENSG00000048740,45
ENSG00000048828,29
ENSG00000048991,10
ENSG00000049089,27
ENSG00000049130,7
ENSG00000049167,3
ENSG00000049192,6
ENSG00000049239,46
